Compound,Chemical Name,sigma,tau,SP3 (LIN),SP3 (BR),SP2,ROT,Ring,V_m (nm3),1/V_m,r_m (nm),T_m (K),T_m range (K),Eccentricity(Ear),Eccentricity(Eal),CCDC Deposition Number,Notes
,"2,3-dimethoxy-5-methyl-1,4-benzenediol",1,1.5,2,0,0,,1,0.234695,4.260849187,,349.25,,6,1,643164,
,"Methyl 2,5-dihydroxybenzoate",1,1,1,0,1,,1,0.1938825,5.157763078,,356.95,,6,1,214606,
,"2,5-dihydroxybenzaldehyde",1,0,0,0,1,,1,0.1583675,6.314426887,,370,,6,1,674088,Measurement temp = 173 K so crystal structure might not be accurate at room temperature
,"2,5-Dihydroxy-4-(3-methylbut-3-en-1-ynyl)benzaldehyde",1,0.5,0,0,2,,1,0.26025,3.842459174,,373,,6,1,272228,
,"2-(2-Oxazolin-2-yl)benzene-1,4-diol",1,0,0,0,0,,2,0.21505875,4.649892181,,388.35,,6,5,641814,
,"2,3-Dichlorobenzene-1,4-diol",2,0,0,0,0,,1,0.170805,5.854629548,,417.84,,6,1,731328,
,"2,5-Dihydroxy-benzeneacetic acid",1,1,1,0,1,,1,0.18681,5.353032493,,423,,6,1,1207565,
Q25H,"2,3,5-trimethyl-1,4-hydroquinone",1,0,0,0,0,,1,0.197915,5.052674128,,442,,6,1,765093,Measurement temp = 95 K so crystal structure might not be accurate at room temp
,Hydroquinone,4,0,0,0,0,,1,0.13243,7.551159103,,444.4,,6,1,1179128,LOTS of polymorphs
,"1,4-dihydroxy-2-(pyrazol-1'-yl)benzene",1,0,0,0,0,,2,0.1960275,5.101325069,,454,,11,1,1257334,
,"3-t-butyl-2,5-dihydroxybenzaldehyde",1,0,0,1,1,,1,0.24752,4.040077569,,455,,6,1,999503,
,"2,5-dihydroxybenzene-1,4-dicarbaldehyde",1,0.5,0,0,2,,1,0.16746,5.971575302,,534,,6,1,1938693,
,"1,2-dihydroxybenzol; Catechol",2,0,0,0,0,,1,0.13567,7.355645458,,376,,6,1,1120672,https://materials-springer-com.stanford.idm.oclc.org/googlecdn/assets/sm_lbs/373/sm_lbs_978-3-540-38203-4_16/sm_lbs_978-3-540-38203-4_16.pdf?trackRequired=true&originUrl=/lb/docs/sm_lbs_978-3-540-38203-4_16
,"2,5-dihydroxybenzoic acid",1,0,0,0,1,,1,0.162124084,6.168115036,,482,,6,1,1109045,https://onlinelibrary-wiley-com.stanford.idm.oclc.org/doi/epdf/10.1107/S0567740882006189
,Homogentisic acid,1,1,1,0,1,,1,0.18681,5.353032493,,422,,6,1,1207565,https://journals-iucr-org.stanford.idm.oclc.org/c/issues/1995/04/00/as1128/as1128.pdf
,"2,3,5,6-tetrachlorobenzene-1,4-diol",4,0,0,0,0,,1,0.205605,4.950923966,,505,,6,1,1267908,https://chemistry-europe-onlinelibrary-wiley-com.stanford.idm.oclc.org/action/downloadSupplement?doi=10.1002%2Fchem.201900377&file=chem201900377-sup-0001-misc_information.pdf
,"2,5-bis(1,1-dimethylethyl)-1,4-benzenediol",2,0,0,2,0,,1,0.343158333,2.913921853,,489,,6,1,1174963,https://onlinelibrary-wiley-com.stanford.idm.oclc.org/doi/epdf/10.1002/anie.199417551
,"2,5-dimethylhydroquinone",2,0,0,0,0,,1,0.18103,5.666203927,,485,,6,1,1143539,https://pubs-rsc-org.stanford.idm.oclc.org/en/content/articlepdf/1986/p2/p29860000557
,Durohydroquinone,4,0,0,0,0,,1,0.21538,4.642956635,,505,,6,1,1143540,https://pubs-rsc-org.stanford.idm.oclc.org/en/content/articlepdf/1986/p2/p29860000557
,"2,3,5,6-tetrafluoro-1,4-benzenediol",4,0,0,0,0,,1,0.154485,6.473120368,,440,,6,1,138566,https://onlinelibrary-wiley-com.stanford.idm.oclc.org/iucr/doi/10.1107/S0108768199005911
,"2,3,5,6-tetrabromohydroquinone",4,0,0,0,0,,1,0.23249,4.301260269,,517,,6,1,138567,https://onlinelibrary-wiley-com.stanford.idm.oclc.org/iucr/doi/10.1107/S0108768199005911
,"diethyl 2,5-dihydroxyterephthalate",2,4.5,4,0,2,,1,0.298455,3.350588866,,406,,6,1,128054,https://onlinelibrary-wiley-com.stanford.idm.oclc.org/doi/epdf/10.1107/S0108270196005306
,"2,5-bis(pyrazol-1-yl)-1,4-dihydroxybenzene",2,0.5,0,0,0,,3,0.267134567,3.74343168,,479,,16,1,1257335,https://pubs-acs-org.stanford.idm.oclc.org/doi/pdf/10.1021/ja00158a039
,"2,3,5,6-tetracyanohydroquinone",4,0,0,0,0,,1,0.2232825,4.47863133,,523,,6,1,1229801,https://onlinelibrary-wiley-com.stanford.idm.oclc.org/doi/pdf/10.1002/ange.19931050311
,"2-(methylsulfonyl)benzene-1,4-diol",1,0.5,0,1,0,,1,0.200338972,4.991540038,,416.5,,6,1,1163829,https://pubs-rsc-org.stanford.idm.oclc.org/en/content/articlepdf/1988/p2/p29880000265
229,"2,3-bis(pyrazol-1-yl)-1,4-dihydroxybenzene",2,0.5,0,0,0,,3,0.28197,3.546476576,,450,,16,1,202037,https://www-degruyter-com.stanford.idm.oclc.org/downloadpdf/journals/znb/61/3/article-p252.pdf
,"1,4-dihydroxy-9,10-anthracenedione",2,0,0,0,0,,1,0.278234063,3.594096248,,471,,14,1,1044980,https://pubs-rsc-org.stanford.idm.oclc.org/en/content/articlepdf/2015/ce/c5ce00147a
,"5,8-dihydroxy-1,4-naphthoquinone",2,0,0,0,0,,1,0.2531225,4.510439805,,507,,10,1,1139995,https://pubs-acs-org.stanford.idm.oclc.org/doi/pdf/10.1021/ja01198a073
,"1,4-dihydroxynaphthalene",2,0,0,0,0,,1,0.197,5.076142132,,463,,10,1,1223307,https://journals-iucr-org.stanford.idm.oclc.org/q/issues/1967/12/00/a05815/a05815.pdf
,bellidifolin,1,0.5,1,0,0,,1,0.28136,3.554165482,,538,,14,1,235775,https://link-springer-com.stanford.idm.oclc.org/content/pdf/10.1007/s10870-005-2802-7.pdf
,"5,8-dihydroxy-2,7-dimethoxy-1,4-naphthoquinone",2,1.5,2,0,0,,1,0.2714175,3.684360809,,545,,10,1,1859343,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222619/pdf/molecules-23-01905.pdf
