Compound,Hm(kJ/mol),Hm (J/mol),,MW,V_m (nm3),1/Vm,(1/Vm)/10,1/(Vm^2),1/Hm,sigma,tau,Eccentricity(Ear),Eccentricity(Eal),T_m (K),,,
2-Butyne,9.25,9250,78.28,54.0904,0.1299900365,7.692897292,,59.18066874,0.1081081081,100,0,1,1,240.9,3.846448646,0,7.692897292
"1,3-Cyclopentadiene",8.01,8010,82.94,66.1,0.1377283295,7.260670364,,52.71733414,0.1248439451,2,0,1,5,176.6,3.630335182,0.0044843,7.244390852
1-Pentene,5.81,5810,109.42,70.13,0.1817004318,5.503564248,,30.28921943,0.1721170396,1,1.5,1,1,107.9,3.501782124,0.0089686,5.485611065
2-Methyl-1-butene,7.91,7910,107.91,70.134,0.1791929591,5.580576406,,31.14283303,0.1264222503,1,0,1,1,135.5,2.790288203,0.0134529,5.543038938
trans-2-Pentene,8.35,8350,108.24,70.13,0.1797409499,5.563562454,,30.95322718,0.119760479,1,1,1,1,132.9,3.281781227,0.0179372,5.522633688
cis-2-Pentene,7.11,7110,106.92,70.13,0.177548987,5.63224841,,31.72222215,0.1406469761,1,1,1,1,121.8,3.316124205,0.0224215,5.580317431
2-Methyl-2-butene,7.6,7600,105.95,70.13,0.1759382265,5.683813119,,32.30573158,0.1315789474,1,0,1,1,139.4,2.84190656,0.0269058,5.60734935
Cyclopentane,5.84,5840,94.15,70.1,0.1563434075,6.396176314,,40.91107144,0.1712328767,7,0,1,5,179.2,3.198088157,0.0313901,6.295788007
2-Methylbutane,5.13,5130,116.43,72.15,0.1933410827,5.172206476,,26.75171983,0.1949317739,1,1,1,1,113.4,3.086103238,0.0358744,5.097368774
n-Pentane,8.4,8400,115.26,72.15,0.1913982066,5.224709353,,27.29758782,0.119047619,2,2,1,1,143.47,3.612354676,0.0403587,5.159636814
"1,4-Pentadiene",6.14,6140,103.06,68.117,0.1711391564,5.843198137,,34.14296447,0.1628664495,2,1,1,1,124.2,3.421599069,0.044843,5.73460637
"2-Methyl-1,3-butadiene",4.92,4920,100.8,68.12,0.1673862504,5.974206349,,35.6911415,0.2032520325,1,0,1,1,127.27,2.987103175,0.0493273,5.826860615
"3-Methyl-1,2-butadiene",7.95,7950,109.87,68.12,0.1824476918,5.481023027,,30.04161342,0.1257861635,2,0,1,1,159.4,2.740511514,0.0538116,5.333551718
"1,trans-3-Pentadiene",7.14,7140,101.52,68.12,0.1685818665,5.931836091,,35.18667942,0.1400560224,1,0,1,1,185.6,2.965918046,0.0582959,5.75893523
"cis-1,3-Pentadiene",5.64,5640,99.3,68.117,0.1648953836,6.064451158,,36.77756785,0.1773049645,1,0,1,1,132.4,3.032225579,0.0627802,5.87408743
2-Pentyne,7.56,7560,95.81,68.12,0.1590999668,6.285356435,,39.50570551,0.1322751323,1,0,1,1,163.7,3.142678217,0.0672645,6.073965756
Cyclopentene,6.13,6130,88.24,68.12,0.1465293922,6.824569356,,46.5747469,0.163132137,2,0,1,5,138.1,3.412284678,0.0717488,6.579742025
Cyclohexene,7.51,7510,101.29,82.14,0.1681999336,5.945305558,,35.34665818,0.1331557923,2,0,1,6,169.5,2.972652779,0.0762331,5.718691022
"3,3-Dimethyl-1-butene",5.44,5440,128.88,84.16,0.2140152773,4.672563625,,21.83285083,0.1838235294,1,0.5,1,1,158.4,2.586281813,0.0807174,4.504164382
3-Methyl-1-pentene,3.6,3600,126.18,84.1595,0.209531717,4.772547155,,22.77720635,0.2777777778,1,1.5,1,1,118.6,3.136273577,0.0852017,4.633133864
4-Methyl-1-pentene,4.93,4930,126.75,84.16,0.2104782464,4.751084813,,22.5728069,0.2028397566,1,1.5,1,1,119.4,3.125542406,0.089686,4.605296416
"2,3-Dimethyl-1-butene",5.45,5450,124.13,84.16,0.2061275324,4.851365504,,23.53574725,0.1834862385,1,0.5,1,1,115.7,2.675682752,0.0941703,4.646480806
cis-4-Methyl-2-pentene,7.36,7360,125.42,84.16,0.2082696778,4.801467071,,23.05408603,0.1358695652,1,0.5,1,1,138.3,2.650733535,0.0986546,4.589287314
trans-4-methyl-2-pentene,7.16,7160,125.61,84.16,0.2085851876,4.794204283,,22.98439471,0.1396648045,1,0.5,1,1,132.35,2.647102142,0.1031389,4.57275453
