,Train AAE,Test AAE,Train RMSE,Test RMSE,Train R^2,Test R^2
Run 1,11.292,31.39,14.679,40.966,0.947,0.676
Run 2,11.667,28.624,15.208,36.957,0.945,0.697
Run 3,11.625,28.408,15.29,36.151,0.946,0.674
Run 4,11.335,32.747,15.066,42.346,0.945,0.639
Run 5,11.64,29.002,15.327,37.101,0.946,0.65
Run 6,11.584,28.801,15.052,36.725,0.949,0.644
Run 7,11.099,32.578,14.479,40.617,0.949,0.663
Run 8,11.516,28.31,15.13,36.365,0.949,0.637
Run 9,11.286,30.355,14.734,39.174,0.951,0.597
Run 10,11.664,29.323,15.431,37.152,0.946,0.647
Run 11,11.369,28.858,14.848,37.47,0.95,0.636
Run 12,11.435,31.806,14.861,41.044,0.948,0.628
Run 13,11.402,31.249,14.969,40.423,0.948,0.617
Run 14,11.801,27.658,15.649,35.243,0.944,0.667
Run 15,11.486,30.296,14.889,39.418,0.948,0.634
Run 16,11.243,32.025,14.811,40.785,0.949,0.599
Run 17,11.337,29.422,14.651,37.585,0.95,0.658
Run 18,11.45,30.263,15.058,38.588,0.948,0.633
Run 19,11.453,30.639,15.106,39.276,0.949,0.561
Run 20,11.621,27.754,15.102,35.872,0.947,0.704
Run 21,11.646,30.038,15.227,37.613,0.946,0.656
Run 22,11.179,32.624,14.513,42.689,0.949,0.617
Run 23,11.281,30.564,14.751,39.239,0.95,0.622
Run 24,11.422,30.716,14.772,39.806,0.947,0.677
Run 25,11.339,29.657,14.766,37.07,0.949,0.675
Run 26,11.187,31.529,14.772,39.921,0.949,0.624
Run 27,11.11,33.332,14.469,42.8,0.948,0.654
Run 28,11.539,30.406,15.096,37.098,0.946,0.69
Run 29,11.654,30.419,15.289,38.683,0.945,0.651
Run 30,11.475,27.901,15.063,35.552,0.947,0.709
Run 31,11.365,33.146,14.809,43.123,0.948,0.585
Run 32,11.216,31.028,14.664,40.283,0.95,0.619
Run 33,11.548,29.407,14.925,38.783,0.949,0.631
Run 34,11.485,30.059,14.91,38.389,0.947,0.679
Run 35,11.562,28.278,14.69,38.331,0.951,0.613
Run 36,11.56,27.381,15.051,35.596,0.949,0.655
Run 37,11.466,31.484,15.025,41.322,0.946,0.626
Run 38,11.343,30.959,14.951,39.457,0.948,0.638
Run 39,11.511,30.472,14.886,38.118,0.949,0.633
Run 40,11.546,27.774,15.087,35.64,0.948,0.678
Run 41,11.234,31.233,14.623,40.109,0.95,0.611
Run 42,11.352,30.429,14.88,38.55,0.949,0.636
Run 43,11.085,32.397,14.548,42.748,0.948,0.653
Run 44,11.433,32.419,14.944,41.777,0.947,0.606
Run 45,11.429,30.691,15.041,39.358,0.947,0.645
Run 46,11.518,29.137,15.076,36.78,0.948,0.653
Run 47,11.572,30.571,14.872,40.149,0.949,0.608
Run 48,11.421,30.028,14.91,40.114,0.949,0.603
Run 49,11.203,31.796,14.746,40.436,0.948,0.658
Run 50,11.467,28.833,15.072,35.79,0.948,0.681
Run 51,11.746,29.569,15.364,38.242,0.946,0.632
Run 52,11.495,29.509,15.125,38.932,0.946,0.659
Run 53,11.69,27.535,15.164,35.372,0.947,0.697
Run 54,11.22,34.066,14.457,44.08,0.95,0.591
Run 55,11.703,32.36,15.381,40.947,0.942,0.665
Run 56,11.557,29.353,15.151,38.258,0.947,0.651
Run 57,11.176,30.12,14.74,39.495,0.948,0.66
Run 58,11.339,31.297,14.937,39.19,0.946,0.686
Run 59,11.237,31.469,15.035,40.881,0.947,0.626
Run 60,11.657,31.09,15.135,41.375,0.945,0.641
Run 61,11.332,29.866,14.563,38.926,0.95,0.66
Run 62,11.599,30.033,14.96,37.984,0.948,0.657
Run 63,11.538,30.967,14.938,39.487,0.946,0.689
Run 64,11.551,29.551,15.04,38.106,0.947,0.67
Run 65,11.573,28.637,15.095,36.475,0.948,0.672
Run 66,11.343,30.968,14.782,39.278,0.948,0.659
Run 67,11.321,31.397,14.837,40.241,0.947,0.672
Run 68,11.305,30.771,14.673,41.019,0.949,0.626
Run 69,11.468,29.311,15.135,36.481,0.947,0.68
Run 70,11.422,30.026,14.71,39.341,0.949,0.663
Run 71,11.283,30.745,14.808,40.192,0.948,0.651
Run 72,11.202,31.479,14.592,40.358,0.95,0.635
Run 73,11.024,32.853,14.475,42.043,0.951,0.579
Run 74,11.414,30.928,14.826,38.86,0.948,0.656
Run 75,11.601,30.956,15.164,40.579,0.945,0.654
Run 76,11.513,29.617,14.987,38.01,0.949,0.625
Run 77,11.407,31.623,14.85,41.577,0.95,0.554
Run 78,11.356,29.731,14.801,38.511,0.949,0.641
Run 79,11.087,34.855,14.743,45.713,0.944,0.645
Run 80,11.192,31.698,14.634,40.386,0.95,0.614
Run 81,11.361,29.554,14.679,38.93,0.95,0.641
Run 82,11.428,30.516,14.842,41.028,0.949,0.588
Run 83,11.228,32.462,14.645,42.852,0.95,0.587
Run 84,10.994,30.853,14.133,40.104,0.953,0.629
Run 85,11.459,29.044,14.995,36.85,0.948,0.67
Run 86,11.262,28.821,14.738,37.093,0.949,0.675
Run 87,11.068,32.582,14.485,42.286,0.951,0.599
Run 88,11.53,31.885,15.063,40.88,0.947,0.617
Run 89,11.304,29.56,14.889,38.905,0.95,0.59
Run 90,11.322,30.446,14.734,38.891,0.951,0.596
Run 91,11.643,29.643,15.321,37.896,0.945,0.667
Run 92,11.033,32.902,14.044,44.572,0.952,0.602
Run 93,11.701,29.226,15.47,37.652,0.943,0.686
Run 94,11.201,31.943,14.601,42.523,0.95,0.575
