,Train AAE,Test AAE,Train RMSE,Test RMSE,Train R^2,Test R^2
Run 1,14.728,43.305,18.266,57.974,0.898,0.013
Run 2,14.823,45.555,17.873,62.4,0.888,0.221
Run 3,15.488,44.183,20.52,53.424,0.879,-0.012
Run 4,14.485,55.266,18.183,67.561,0.899,-0.262
Run 5,16.248,36.063,21.28,42.45,0.875,0.188
Run 6,16.207,38.022,19.842,48.929,0.883,0.273
Run 7,14.584,42.73,18.143,53.655,0.896,0.301
Run 8,15.28,51.361,19.12,61.283,0.884,0.054
Run 9,16.419,47.57,21.2,57.123,0.869,-0.057
Run 10,16.172,35.258,20.279,53.536,0.878,0.13
Run 11,16.368,44.815,20.239,52.68,0.883,-0.134
Run 12,16.102,36.001,19.993,46.163,0.889,0.095
Run 13,16.9,29.325,21.861,37.031,0.864,0.453
Run 14,15.924,39.294,21.294,47.038,0.878,-0.186
Run 15,14.158,47.273,17.999,60.445,0.896,0.145
Run 16,15.007,46.366,18.719,57.858,0.887,0.22
Run 17,14.277,49.53,17.565,63.601,0.89,0.184
Run 18,16.517,39.188,20.925,49.387,0.874,-0.087
Run 19,15.178,39.457,19.852,46.822,0.891,0.024
Run 20,15.312,43.792,19.591,50.314,0.885,0.092
Run 21,16.377,36.151,20.832,42.811,0.875,0.301
Run 22,16.048,39.609,20.096,53.089,0.886,-0.284
Run 23,15.919,47.336,20.869,55.85,0.873,-0.009
Run 24,14.925,44.19,20.144,49.638,0.877,0.055
Run 25,15.716,41.187,20.065,47.505,0.886,0.057
Run 26,15.358,51.278,19.685,57.669,0.879,0.148
Run 27,16.225,28.484,20.619,33.854,0.889,0.169
Run 28,14.829,41.648,18.825,52.036,0.902,-0.212
Run 29,13.381,55.819,17.582,64.358,0.895,0.02
Run 30,16.746,34.098,21.766,40.924,0.867,0.286
Run 31,16.713,35.27,21.014,45.363,0.875,0.18
Run 32,14.523,50.857,19.455,69.111,0.87,0.025
Run 33,15.716,43.595,19.098,55.804,0.896,-0.14
Run 34,16.421,40.108,20.835,46.111,0.876,0.232
