,Train AAE,Test AAE,Train RMSE,Test RMSE
Run 1,16.108,41.633,19.484,52.498
Run 2,14.853,39.312,18.611,57.72
Run 3,14.947,50.337,19.097,59.311
Run 4,14.682,46.593,18.66,57.19
Run 5,16.529,34.302,20.668,45.409
Run 6,15.556,38.12,21.279,44.918
Run 7,16.642,33.066,20.428,44.413
Run 8,15.547,47.188,19.287,56.536
Run 9,15.052,43.321,19.224,54.374
Run 10,16.065,34.836,19.915,42.587
Run 11,16.205,40.668,20.566,43.824
Run 12,16.603,40.889,20.598,48.148
Run 13,16.045,45.613,20.259,51.473
Run 14,15.311,41.947,19.405,57.556
Run 15,16.359,54.074,20.467,70.479
Run 16,15.768,46.784,20.29,57.748
Run 17,16.252,39.497,19.361,48.292
Run 18,15.784,35.397,19.505,47.806
Run 19,16.149,45.634,20.652,56.83
Run 20,13.546,53.616,16.834,68.229
Run 21,16.297,43.76,20.364,51.56
Run 22,15.353,44.684,19.369,55.139
Run 23,16.308,52.859,19.805,60.236
Run 24,16.395,35.799,22.153,42.334
Run 25,15.141,44.764,19.53,55.795
Run 26,15.458,41.885,20.166,47.592
Run 27,17.114,30.487,20.518,36.139
Run 28,16.053,38.287,19.603,46.798
Run 29,14.585,54.964,19.018,64.358
Run 30,16.821,33.384,22.16,40.973
Run 31,15.524,42.966,20.131,51.805
Run 32,16.485,38.938,20.281,46.211
Run 33,15.526,46.702,20.068,53.606
Run 34,14.268,47.578,18.262,57.516
Run 35,15.148,43.615,18.787,55.349
Run 36,15.828,40.451,19.311,52.844
Run 37,15.305,44.528,18.954,51.429
Run 38,16.0,45.769,20.682,60.442
Run 39,16.288,38.963,19.7,49.215
Run 40,16.188,51.045,19.993,59.211
Run 41,16.237,37.799,19.98,44.41
Run 42,17.942,26.593,21.381,35.192
Run 43,16.359,39.369,20.215,47.399
Run 44,14.292,50.516,17.746,61.05
Run 45,15.659,44.7,19.043,57.22
Run 46,15.192,39.333,19.49,48.73
Run 47,14.495,44.456,18.825,56.362
Run 48,15.815,43.196,19.619,53.987
Run 49,16.689,41.392,20.989,46.488
Run 50,16.19,40.253,19.928,45.989
Run 51,14.975,36.649,18.446,50.5
Run 52,16.199,30.351,20.342,37.96
Run 53,15.646,35.624,18.791,47.962
Run 54,15.626,36.751,20.457,44.782
Run 55,16.208,36.624,19.712,47.304
Run 56,15.444,45.09,19.148,60.691
Run 57,15.568,38.92,20.189,52.102
Run 58,15.961,41.794,19.223,56.781
Run 59,17.011,35.227,21.102,40.219
Run 60,15.118,32.882,18.602,41.626
Run 61,17.394,38.369,22.078,44.862
Run 62,15.304,42.632,19.074,53.361
Run 63,16.725,37.664,20.615,51.437
Run 64,17.813,27.652,21.283,33.506
Run 65,14.393,51.093,17.698,60.867
Run 66,15.848,42.298,20.253,48.807
Run 67,15.424,49.814,19.115,60.665
Run 68,15.272,36.013,19.021,44.212
Run 69,15.622,33.889,19.392,38.195
Run 70,15.777,46.097,19.323,62.155
Run 71,14.855,59.48,18.659,70.101
Run 72,14.913,46.619,19.072,56.616
Run 73,14.382,52.449,18.734,62.665
Run 74,15.254,49.742,19.171,59.37
Run 75,15.725,47.94,20.104,55.198
Run 76,15.55,44.448,19.26,55.887
Run 77,15.686,42.607,20.197,50.075
Run 78,16.476,41.949,20.098,54.367
Run 79,15.525,44.687,19.7,54.885
Run 80,15.753,37.346,18.919,55.055
Run 81,14.356,52.693,17.766,62.284
Run 82,17.14,34.95,21.515,41.699
Run 83,15.86,35.206,20.968,41.618
Run 84,15.704,38.538,19.784,48.149
Run 85,15.884,41.205,19.343,51.469
Run 86,14.86,54.886,19.202,69.325
Run 87,14.121,56.466,18.836,69.828
Run 88,16.697,27.959,20.61,34.077
Run 89,16.606,34.967,20.644,43.978
Run 90,15.663,45.407,19.062,55.114
Run 91,16.539,38.089,19.855,49.817
Run 92,16.503,43.633,20.631,51.315
Run 93,15.553,46.304,19.819,59.235
Run 94,14.067,51.862,17.332,61.197
Run 95,16.486,32.584,20.2,39.716
Run 96,15.752,42.858,20.035,57.461
Run 97,15.684,50.855,19.726,59.18
Run 98,15.934,46.778,19.892,55.648
Run 99,14.967,51.607,18.739,60.504
Run 100,15.831,39.349,19.664,53.211
Mean,15.746,42.308,19.721,52.178
95% CI,"(15.586, 15.906)","(40.96, 43.655)","(19.527, 19.914)","(50.552, 53.803)"
