,Train AAE,Test AAE,Train RMSE,Test RMSE,Train R^2,Test R^2
Run 1,14.884,39.232,19.189,51.009,0.875,0.134
Run 2,15.097,37.273,19.426,47.473,0.874,0.182
Run 3,15.013,38.968,19.506,49.454,0.872,0.145
Run 4,15.059,38.852,19.456,49.736,0.872,0.167
Run 5,14.878,39.808,19.344,50.835,0.873,0.129
Run 6,14.812,39.359,19.227,51.059,0.875,0.099
Run 7,14.94,39.919,19.573,50.916,0.87,0.145
Run 8,14.897,39.711,19.309,50.634,0.875,0.1
Run 9,14.804,38.754,19.03,50.865,0.878,0.125
Run 10,14.923,39.41,19.301,50.005,0.876,0.079
Run 11,14.775,40.983,19.219,52.493,0.874,0.1
Run 12,14.871,38.279,19.252,48.66,0.877,0.121
Run 13,14.81,38.977,19.103,51.102,0.874,0.184
Run 14,14.99,39.92,19.348,50.358,0.874,0.117
Run 15,14.861,39.6,19.247,50.89,0.875,0.116
Run 16,15.165,37.455,19.468,47.697,0.873,0.195
Run 17,14.922,40.174,19.134,52.152,0.873,0.154
Run 18,14.686,39.516,18.924,51.004,0.879,0.105
Run 19,14.95,38.128,19.366,48.51,0.876,0.134
Run 20,14.765,40.655,19.22,52.406,0.873,0.135
Run 21,15.115,38.528,19.557,50.261,0.871,0.149
Run 22,14.661,40.793,19.163,51.882,0.875,0.115
Run 23,14.918,39.323,19.2,50.412,0.877,0.1
Run 24,14.917,38.019,19.19,49.368,0.877,0.135
Run 25,14.923,39.708,19.387,51.113,0.871,0.163
Run 26,14.943,39.687,19.298,52.142,0.873,0.108
Run 27,14.815,40.56,19.016,53.091,0.876,0.103
Run 28,14.653,40.143,19.01,52.692,0.877,0.087
Run 29,14.753,40.088,18.988,53.007,0.876,0.118
Run 30,14.839,39.742,19.189,51.053,0.875,0.132
Run 31,14.825,40.09,19.247,51.278,0.876,0.088
Run 32,14.958,39.422,19.247,50.21,0.875,0.13
Run 33,15.058,38.786,19.639,49.576,0.87,0.168
Run 34,15.093,38.001,19.425,49.177,0.875,0.119
Run 35,14.99,39.228,19.361,50.993,0.873,0.135
Run 36,14.821,39.111,19.239,50.221,0.876,0.109
Run 37,15.014,39.784,19.576,51.14,0.868,0.172
Run 38,14.77,40.203,19.288,51.473,0.874,0.118
Run 39,14.715,39.534,18.987,51.038,0.879,0.108
Run 40,14.952,39.743,19.168,51.028,0.876,0.097
Run 41,15.018,37.857,19.457,48.104,0.874,0.174
Run 42,14.839,40.52,19.234,52.338,0.873,0.134
Run 43,14.998,38.727,19.456,49.867,0.873,0.112
Run 44,14.877,39.304,19.431,50.189,0.875,0.071
Run 45,14.784,40.153,19.201,51.301,0.876,0.103
Run 46,14.981,39.417,19.478,50.546,0.873,0.11
Run 47,14.987,38.674,19.28,49.269,0.876,0.13
Run 48,14.75,40.319,19.172,51.591,0.873,0.162
Run 49,14.983,39.353,19.431,50.93,0.871,0.15
Run 50,14.796,39.611,19.118,51.255,0.875,0.151
Run 51,15.015,39.813,19.403,51.918,0.872,0.105
Run 52,14.91,39.959,19.287,50.969,0.875,0.095
Run 53,14.888,39.622,19.264,52.414,0.871,0.16
Run 54,15.165,36.964,19.489,48.711,0.873,0.155
Run 55,14.818,40.176,19.36,51.16,0.872,0.157
Run 56,14.609,42.311,18.991,53.895,0.874,0.141
Run 57,14.883,39.524,19.166,51.727,0.876,0.083
Run 58,14.708,40.519,19.087,52.326,0.875,0.12
Run 59,14.887,39.856,19.31,51.314,0.873,0.138
Run 60,14.694,41.73,18.918,53.37,0.874,0.159
Run 61,14.99,39.621,19.276,50.852,0.875,0.103
Run 62,15.087,38.316,19.479,49.373,0.872,0.172
Run 63,14.79,40.541,19.18,52.423,0.873,0.133
Run 64,14.945,39.267,19.411,49.682,0.874,0.136
Run 65,14.875,40.648,19.392,52.494,0.872,0.081
