,Train AAE,Test AAE,Train RMSE,Test RMSE,Train R^2,Test R^2
Run 1,15.507,37.464,20.321,48.241,0.85,0.1
Run 2,15.997,34.409,19.78,45.626,0.863,0.051
Run 3,15.384,28.118,19.736,40.647,0.867,0.141
Run 4,15.382,33.955,19.992,44.378,0.861,-0.121
Run 5,15.448,32.538,19.545,44.973,0.865,0.107
Run 6,14.887,32.755,18.991,46.227,0.87,0.152
Run 7,14.502,37.09,18.39,48.545,0.882,-0.094
Run 8,14.651,36.659,18.841,44.862,0.875,0.108
Run 9,14.795,37.987,19.186,49.231,0.85,0.326
Run 10,13.829,45.75,18.097,52.726,0.884,-0.181
Run 11,13.959,41.396,17.877,52.742,0.874,0.174
Run 12,14.638,33.755,18.514,49.145,0.866,0.285
Run 13,14.912,37.888,18.832,48.63,0.871,0.089
Run 14,13.205,45.041,16.523,58.089,0.883,0.17
Run 15,14.589,50.293,17.856,62.696,0.877,-0.193
Run 16,14.977,41.609,19.027,49.527,0.876,-0.251
Run 17,14.795,41.044,19.081,51.127,0.865,0.091
Run 18,14.931,49.161,19.279,60.108,0.863,-0.388
Run 19,15.402,36.106,19.513,47.373,0.867,-0.04
Run 20,15.574,32.955,20.021,41.895,0.86,0.161
Run 21,13.944,39.459,17.916,51.513,0.873,0.243
Run 22,14.968,44.073,18.904,56.642,0.863,-0.224
Run 23,15.329,35.526,19.814,46.248,0.863,0.012
Run 24,15.029,34.247,19.511,44.551,0.87,-0.063
Run 25,14.518,45.296,18.786,58.148,0.86,0.055
Run 26,15.674,30.747,19.931,41.908,0.855,0.34
Run 27,15.666,30.567,19.741,38.804,0.859,0.377
Run 28,14.808,36.242,19.22,46.808,0.862,0.224
Run 29,15.074,30.46,19.858,36.695,0.866,0.155
Run 30,13.615,40.622,17.281,50.566,0.885,0.19
Run 31,14.816,34.542,19.366,45.236,0.861,0.239
Run 32,15.47,38.459,19.889,48.077,0.864,-0.149
Run 33,15.463,29.278,20.227,38.305,0.86,0.107
Run 34,13.483,42.858,17.448,52.77,0.88,0.17
Run 35,15.585,34.85,19.824,43.448,0.865,0.054
Run 36,13.404,42.561,16.767,59.035,0.891,-0.057
Run 37,14.384,37.698,18.972,49.984,0.861,0.115
Run 38,14.672,38.583,18.598,48.834,0.871,0.176
Run 39,13.262,49.074,16.668,62.08,0.892,-0.185
Run 40,14.711,46.746,18.655,57.635,0.865,-0.094
Run 41,15.265,38.877,19.854,46.548,0.869,-0.991
