,Train AAE,Test AAE,Train RMSE,Test RMSE
Run 1,15.928,35.391,20.585,40.889
Run 2,15.418,35.715,19.29,46.244
Run 3,13.989,42.545,18.848,52.897
Run 4,14.225,39.283,17.371,52.357
Run 5,15.542,31.231,19.877,41.613
Run 6,12.779,57.548,16.061,70.558
Run 7,16.136,33.359,20.162,44.386
Run 8,15.419,31.137,19.713,39.615
Run 9,15.222,34.788,18.941,47.39
Run 10,16.814,35.126,20.704,46.887
Run 11,14.073,40.07,18.141,49.767
Run 12,13.375,41.421,17.25,53.106
Run 13,14.678,41.316,19.056,49.441
Run 14,15.374,36.96,20.192,45.335
Run 15,13.418,42.125,17.418,56.353
Run 16,13.789,44.057,18.145,53.867
Run 17,14.413,44.178,17.89,60.166
Run 18,15.69,33.478,19.462,41.949
Run 19,15.703,28.825,20.212,34.177
Run 20,14.867,39.698,19.379,45.942
Run 21,15.219,36.22,19.214,45.755
Run 22,13.703,47.14,18.508,55.542
Run 23,15.724,35.194,18.881,51.588
Run 24,17.194,22.121,21.552,30.939
Run 25,15.493,34.436,19.803,44.858
Run 26,14.824,40.776,19.008,51.626
Run 27,15.145,40.484,18.594,48.089
Run 28,14.286,47.644,18.641,60.652
Run 29,13.666,41.602,16.908,56.745
Run 30,14.565,36.488,18.563,49.284
Run 31,14.681,35.045,19.181,45.579
Run 32,14.011,42.828,18.356,52.19
Run 33,14.384,40.702,18.443,53.928
Run 34,15.717,31.396,20.28,42.347
Run 35,15.62,38.543,19.467,49.561
Run 36,17.663,19.36,21.556,24.588
Run 37,15.413,33.25,19.161,45.831
Run 38,15.678,32.94,20.204,40.907
Run 39,15.594,33.8,19.669,42.873
Run 40,15.549,33.184,19.374,42.321
Run 41,14.728,41.341,19.258,48.119
Run 42,14.48,50.468,18.982,57.773
Run 43,16.222,44.087,19.782,63.548
Run 44,15.636,31.85,20.502,44.209
Run 45,14.451,41.338,17.234,56.346
Run 46,15.297,32.958,19.334,42.742
Run 47,15.72,36.946,19.663,45.202
Run 48,15.224,32.745,19.252,40.621
Run 49,14.016,40.207,18.253,49.672
Run 50,13.746,58.453,17.462,72.925
Run 51,12.994,47.178,16.593,60.971
Run 52,15.539,38.448,19.283,44.818
Run 53,15.105,36.284,19.46,44.886
Run 54,13.522,44.097,17.243,56.607
Run 55,14.63,54.44,18.666,65.406
Run 56,15.809,28.918,20.147,36.563
Run 57,14.178,39.364,18.551,47.739
Run 58,15.441,42.148,19.241,55.62
Run 59,14.465,45.181,19.235,52.781
Run 60,13.86,40.873,18.107,54.569
Run 61,14.727,50.106,19.373,59.251
Run 62,14.855,38.366,19.167,51.214
Run 63,14.894,41.076,18.626,52.15
Run 64,15.491,36.47,19.624,46.993
Run 65,13.977,45.587,18.096,55.152
Run 66,13.735,43.524,17.893,50.931
Run 67,15.472,37.886,19.583,49.061
Run 68,15.696,34.864,19.414,46.08
Run 69,14.919,47.218,18.776,60.804
Run 70,14.768,37.896,18.346,49.474
Run 71,15.669,36.609,19.612,44.539
Run 72,15.531,37.714,20.366,44.952
Run 73,12.977,52.498,17.676,60.742
Run 74,16.251,25.826,20.354,33.676
Run 75,15.139,38.52,19.484,46.773
Run 76,16.084,23.47,19.418,35.631
Run 77,14.165,47.333,18.454,58.088
Run 78,13.744,43.688,18.308,53.499
Run 79,15.941,37.684,19.565,47.197
Run 80,14.575,48.983,18.662,55.548
Run 81,13.644,51.739,17.829,66.118
Run 82,15.537,33.359,19.958,42.805
Run 83,15.759,28.722,20.261,36.718
Run 84,15.105,35.645,19.058,48.473
Run 85,15.892,35.254,20.274,42.59
Run 86,12.748,53.41,16.662,64.266
Run 87,14.585,35.832,18.36,46.587
Run 88,14.439,46.573,18.793,57.62
Run 89,13.35,44.732,17.669,53.582
Run 90,14.576,43.588,19.286,51.878
Run 91,14.092,39.41,17.21,53.344
Run 92,14.069,43.484,17.658,53.679
Run 93,13.078,51.266,16.877,62.293
Run 94,15.272,44.985,18.513,59.019
Run 95,13.917,49.738,17.851,59.431
Run 96,15.387,43.901,19.46,52.848
Run 97,15.304,34.905,19.953,41.81
Run 98,16.432,34.453,19.92,46.163
Run 99,15.214,34.447,19.14,44.983
Run 100,14.644,43.963,18.016,61.092
Mean,14.877,39.535,18.939,49.963
95% CI,"(14.686, 15.068)","(38.099, 40.97)","(18.726, 19.151)","(48.294, 51.632)"
