,Train AAE,Test AAE,Train RMSE,Test RMSE,Train R^2,Test R^2
Run 1,23.607,28.694,31.109,38.079,0.784,0.581
Run 2,22.952,31.142,30.117,43.78,0.791,0.53
Run 3,23.366,30.94,31.261,40.05,0.776,0.596
Run 4,23.911,28.792,31.858,39.047,0.766,0.625
Run 5,22.99,32.591,30.655,41.374,0.771,0.643
Run 6,23.532,29.773,31.295,38.902,0.768,0.663
Run 7,23.193,30.663,30.523,41.351,0.784,0.589
Run 8,23.481,30.564,31.149,39.934,0.777,0.605
Run 9,24.473,24.915,32.431,33.374,0.769,0.657
Run 10,22.932,32.203,30.448,41.176,0.782,0.619
Run 11,23.288,29.524,31.05,40.159,0.777,0.609
Run 12,24.561,25.13,32.386,33.49,0.763,0.699
Run 13,23.127,30.292,31.039,40.28,0.772,0.643
Run 14,23.602,29.301,31.284,38.942,0.777,0.608
Run 15,23.766,28.01,31.649,35.881,0.771,0.673
Run 16,23.562,29.314,31.529,37.697,0.772,0.648
Run 17,22.375,34.571,29.403,48.201,0.788,0.537
Run 18,23.475,29.811,31.13,41.484,0.769,0.626
Run 19,24.084,26.428,32.259,34.559,0.764,0.683
Run 20,23.294,30.453,30.457,44.061,0.777,0.595
Run 21,23.785,27.283,31.625,36.144,0.764,0.703
Run 22,23.601,29.481,31.466,37.921,0.768,0.668
Run 23,23.52,29.921,30.981,40.404,0.773,0.639
Run 24,23.721,27.962,31.852,35.03,0.765,0.704
Run 25,23.647,28.857,31.665,36.107,0.761,0.721
Run 26,23.11,30.232,30.993,40.453,0.773,0.639
Run 27,23.447,30.536,31.709,40.257,0.766,0.617
Run 28,23.786,27.818,31.436,37.75,0.777,0.617
Run 29,23.682,30.271,31.536,39.662,0.773,0.596
Run 30,23.664,27.588,31.832,36.174,0.768,0.671
Run 31,23.956,27.947,31.207,39.028,0.776,0.62
Run 32,23.14,30.833,31.11,39.302,0.774,0.644
Run 33,23.597,29.499,31.632,38.643,0.767,0.651
Run 34,23.688,30.269,31.485,39.764,0.773,0.606
Run 35,23.268,30.475,31.242,40.24,0.772,0.627
Run 36,23.578,29.986,31.215,39.202,0.768,0.667
Run 37,23.888,29.039,31.687,38.548,0.768,0.642
Run 38,23.616,28.912,31.403,39.621,0.773,0.612
Run 39,24.049,29.42,32.099,40.608,0.765,0.573
Run 40,23.052,31.629,30.573,43.092,0.762,0.671
Run 41,23.301,31.116,30.461,43.316,0.788,0.52
Run 42,23.326,31.38,30.952,42.213,0.765,0.651
Run 43,23.943,28.676,31.36,39.628,0.765,0.666
Run 44,23.498,29.271,31.429,38.6,0.774,0.625
Run 45,22.821,32.017,30.16,43.288,0.786,0.563
Run 46,23.526,29.877,31.222,39.274,0.771,0.649
Run 47,23.217,30.142,31.231,39.698,0.773,0.626
Run 48,23.54,29.025,30.911,39.371,0.779,0.624
Run 49,23.585,29.902,30.968,40.707,0.77,0.655
Run 50,23.399,30.878,31.112,40.42,0.77,0.646
Run 51,24.067,28.74,31.878,37.471,0.766,0.651
Run 52,22.949,33.465,30.147,44.97,0.788,0.524
Run 53,23.625,29.143,31.732,37.138,0.766,0.675
Run 54,24.207,26.456,32.112,34.827,0.766,0.678
Run 55,23.315,30.659,31.364,38.952,0.771,0.641
Run 56,23.885,27.576,31.815,36.506,0.761,0.706
Run 57,23.529,29.498,31.44,39.385,0.775,0.589
Run 58,23.573,29.054,30.917,39.444,0.784,0.586
Run 59,24.07,26.99,32.088,34.568,0.764,0.7
Run 60,23.355,30.881,31.111,41.161,0.777,0.588
Run 61,24.185,27.441,31.589,40.67,0.763,0.64
Run 62,22.794,32.592,29.906,43.929,0.791,0.55
Run 63,23.742,30.005,31.659,39.393,0.763,0.658
Run 64,24.061,27.496,31.98,34.925,0.766,0.691
Run 65,23.32,29.819,30.54,41.774,0.78,0.607
Run 66,23.526,30.693,30.955,40.903,0.775,0.619
Run 67,23.439,29.884,30.926,39.959,0.781,0.594
Run 68,23.505,29.918,30.857,39.676,0.777,0.641
Run 69,23.564,29.872,31.087,40.131,0.767,0.67
Run 70,23.489,34.332,31.36,66.738,0.769,-0.017
Run 71,23.582,30.602,31.092,40.622,0.772,0.631
Run 72,23.616,30.797,31.393,40.002,0.768,0.637
Run 73,23.662,29.169,31.141,39.875,0.779,0.592
Run 74,23.723,28.098,31.742,37.375,0.764,0.681
Run 75,23.427,30.892,31.131,48.403,0.773,0.456
Run 76,23.491,28.862,31.103,39.479,0.774,0.638
Run 77,23.438,29.099,31.13,39.596,0.77,0.661
Run 78,23.841,28.35,31.597,36.61,0.758,0.727
Run 79,23.291,30.287,30.76,40.933,0.783,0.584
Run 80,23.646,28.717,31.042,39.494,0.778,0.614
Run 81,23.462,29.618,30.958,41.279,0.781,0.565
Run 82,23.845,27.583,31.756,36.123,0.763,0.704
Run 83,23.315,30.174,31.519,38.663,0.771,0.635
Run 84,24.184,27.857,32.121,38.717,0.766,0.6
Run 85,23.316,30.837,30.723,41.803,0.775,0.622
Run 86,23.265,29.525,31.058,39.139,0.765,0.693
Run 87,23.417,29.603,31.291,37.664,0.772,0.666
Run 88,23.804,28.621,31.959,36.564,0.759,0.699
Run 89,24.251,26.827,32.0,35.043,0.759,0.726
Run 90,23.889,28.637,31.667,39.068,0.776,0.559
Run 91,23.881,29.616,31.752,39.332,0.767,0.624
Run 92,23.447,29.804,30.965,40.453,0.773,0.632
Run 93,23.599,27.75,31.439,36.965,0.768,0.686
Run 94,24.11,28.003,31.622,38.409,0.776,0.583
Run 95,23.763,28.69,31.68,39.102,0.764,0.656
Run 96,22.73,35.081,30.277,47.209,0.779,0.536
Run 97,23.917,28.418,31.365,39.532,0.773,0.619
Run 98,24.51,24.802,31.966,35.527,0.764,0.691
Run 99,24.073,25.895,32.075,34.535,0.764,0.703
Run 100,23.769,29.068,31.408,38.22,0.767,0.675
Mean,23.58,29.491,31.288,39.645,0.772,0.626
95% CI,"(23.504, 23.656)","(29.128, 29.855)","(31.178, 31.397)","(38.87, 40.421)","(0.77, 0.773)","(0.61, 0.643)"
