,Train AAE,Test AAE,Train RMSE,Test RMSE,Train R^2,Test R^2
Run 1,41.614,29.734,51.347,39.762,0.307,-0.141
Run 2,38.416,42.359,48.672,50.488,0.282,0.242
Run 3,39.338,40.148,50.052,45.604,0.27,0.309
Run 4,42.259,28.231,51.971,35.217,0.244,0.447
Run 5,35.935,52.038,44.808,64.825,0.411,-0.341
Run 6,36.743,51.684,45.03,64.497,0.338,0.007
Run 7,38.903,43.313,48.671,53.006,0.283,0.022
Run 8,38.437,42.792,49.09,48.557,0.282,0.261
Run 9,37.13,49.036,46.324,58.563,0.32,0.14
Run 10,41.131,32.854,50.861,41.758,0.237,0.43
Run 11,37.811,46.075,46.318,58.126,0.336,0.081
Run 12,37.629,44.495,48.973,49.966,0.333,-0.046
Run 13,40.462,38.053,48.57,52.078,0.275,0.278
Run 14,36.203,49.964,44.556,64.406,0.317,0.189
Run 15,37.774,46.158,48.785,51.277,0.232,0.357
Run 16,37.744,44.342,48.295,53.776,0.289,0.164
Run 17,38.06,43.764,45.56,61.16,0.333,0.083
Run 18,37.612,44.412,47.693,53.664,0.29,0.267
Run 19,40.408,36.158,49.137,49.469,0.276,0.287
Run 20,38.569,45.629,47.406,58.795,0.238,0.255
Run 21,41.127,31.567,50.33,44.085,0.271,0.324
Run 22,41.186,31.207,51.264,37.608,0.281,0.297
Run 23,36.989,50.443,44.853,63.971,0.345,-0.062
Run 24,36.635,50.01,44.958,64.663,0.319,0.085
Run 25,38.694,40.776,49.411,47.208,0.285,0.267
Run 26,39.126,39.827,48.947,49.36,0.271,0.325
Run 27,37.6,47.124,48.1,55.298,0.36,-0.679
Run 28,38.495,45.008,47.686,56.764,0.335,-0.098
Run 29,40.195,36.632,50.104,45.137,0.232,0.445
Run 30,37.48,47.187,47.754,58.921,0.305,-0.305
Run 31,41.663,33.135,51.376,39.77,0.288,-0.033
Run 32,38.54,41.832,46.898,59.04,0.241,0.273
Run 33,37.733,45.463,45.76,62.516,0.301,0.179
Run 34,39.752,36.272,49.489,47.917,0.29,0.189
Run 35,36.67,55.521,44.83,66.706,0.354,-0.106
Run 36,37.196,48.313,47.937,55.863,0.371,-0.475
Run 37,39.726,37.382,49.662,47.581,0.292,-0.057
Run 38,36.174,52.486,46.554,59.803,0.305,0.131
Run 39,39.505,37.512,49.264,47.891,0.262,0.354
Run 40,38.673,43.747,47.68,55.642,0.297,0.125
Run 41,37.598,46.758,46.771,60.731,0.301,0.122
Run 42,39.619,41.423,48.844,53.952,0.321,-0.947
Run 43,39.85,35.802,50.246,43.095,0.307,0.029
Run 44,40.279,36.44,49.977,45.105,0.246,0.398
Run 45,37.041,47.315,46.734,58.344,0.343,-0.256
Run 46,39.805,37.011,50.53,42.607,0.282,0.257
Run 47,38.248,44.032,47.596,55.803,0.35,-0.233
Run 48,41.862,28.486,52.089,33.083,0.247,0.534
Run 49,41.699,30.874,51.935,35.902,0.246,0.419
Run 50,40.299,39.42,50.543,45.685,0.267,0.263
Run 51,36.519,53.91,44.825,65.121,0.394,-0.3
Run 52,39.538,37.205,49.819,44.909,0.275,0.323
Run 53,41.313,29.703,51.596,36.923,0.246,0.482
Run 54,38.226,48.216,48.044,59.694,0.28,0.058
Run 55,36.842,47.04,46.87,57.294,0.341,0.037
Run 56,37.745,47.522,47.06,60.337,0.373,-0.704
Run 57,38.046,44.115,47.994,54.454,0.357,-0.228
Run 58,39.307,42.008,48.303,52.741,0.341,-0.082
Run 59,36.008,52.991,45.519,61.753,0.388,-0.234
Run 60,37.169,47.332,47.061,62.158,0.254,0.037
Run 61,39.966,38.561,50.252,45.747,0.296,0.079
Run 62,38.429,41.585,48.173,53.026,0.302,0.137
Run 63,40.506,34.391,48.694,49.76,0.309,0.185
Run 64,36.31,52.359,44.982,63.578,0.338,0.112
Run 65,39.163,38.225,49.784,45.294,0.273,0.322
Run 66,36.975,48.132,46.635,57.941,0.353,-0.039
Run 67,37.44,48.274,48.105,56.028,0.314,0.024
Run 68,41.098,32.255,51.035,40.815,0.301,0.099
Run 69,39.253,39.564,49.884,46.943,0.235,0.411
Run 70,37.474,49.013,47.475,57.913,0.311,-0.004
Run 71,37.927,46.296,46.951,59.365,0.347,-0.11
Run 72,38.981,41.617,47.416,54.694,0.348,-0.024
Run 73,38.983,43.223,47.417,57.958,0.353,-0.285
Run 74,39.685,36.542,50.074,44.323,0.32,0.022
Run 75,40.171,34.091,49.665,47.565,0.279,0.237
Run 76,37.908,47.267,46.29,60.059,0.313,0.154
Run 77,38.608,41.231,48.578,51.763,0.319,0.017
Run 78,41.005,31.541,50.818,41.497,0.281,0.125
Run 79,37.698,52.119,45.627,64.72,0.287,0.063
Run 80,39.046,42.681,48.372,54.808,0.319,-0.433
Run 81,40.067,33.95,49.248,49.63,0.264,0.312
Run 82,36.249,52.094,45.199,65.049,0.285,0.045
Run 83,38.437,45.114,47.653,56.96,0.385,-0.704
Run 84,38.47,41.649,49.38,49.168,0.364,-0.719
Run 85,38.949,42.681,49.121,50.924,0.304,0.015
Run 86,39.95,38.377,48.845,50.115,0.31,0.144
Run 87,40.014,34.921,49.566,46.273,0.299,0.198
Run 88,38.369,43.709,46.136,60.651,0.306,0.124
Run 89,39.808,36.569,48.334,51.499,0.296,0.238
Run 90,35.829,56.394,44.773,66.64,0.351,-0.039
Run 91,38.044,44.623,48.321,53.428,0.288,0.123
Run 92,35.43,56.427,43.562,69.604,0.341,-0.013
Run 93,39.719,37.156,50.071,43.986,0.285,0.294
Run 94,38.03,43.596,47.761,53.866,0.353,-0.087
Run 95,35.658,53.748,42.978,71.091,0.332,-0.015
Run 96,41.785,30.068,51.636,36.325,0.236,0.514
Run 97,41.248,31.33,51.384,36.933,0.258,0.462
Run 98,38.841,41.234,49.547,46.761,0.247,0.408
Run 99,38.572,39.701,47.505,56.831,0.336,-0.029
Run 100,40.674,32.849,50.91,39.682,0.273,0.361
Mean,38.731,42.154,48.255,52.596,0.304,0.072
95% CI,"(38.407, 39.055)","(40.771, 43.538)","(47.843, 48.667)","(50.879, 54.314)","(0.296, 0.312)","(0.015, 0.129)"
