,Train AAE,Test AAE,Train RMSE,Test RMSE
Run 1,35.686,41.25,45.757,53.918
Run 2,38.565,34.715,48.608,42.682
Run 3,38.108,32.93,48.234,41.995
Run 4,36.251,44.42,44.848,62.009
Run 5,32.105,54.975,39.987,67.951
Run 6,34.708,47.539,42.89,61.854
Run 7,38.408,34.595,48.473,45.385
Run 8,40.042,23.979,50.497,28.335
Run 9,35.427,43.326,44.711,57.531
Run 10,32.688,51.693,40.549,69.14
Run 11,34.79,45.761,46.39,51.036
Run 12,33.913,50.055,44.244,59.709
Run 13,37.177,40.955,47.744,48.55
Run 14,37.089,36.758,46.413,49.093
Run 15,36.969,35.387,46.641,48.225
Run 16,37.358,35.412,47.872,44.287
Run 17,37.05,39.415,47.279,49.444
Run 18,35.363,43.988,44.849,56.856
Run 19,33.151,49.711,42.308,64.696
Run 20,35.795,41.996,45.459,53.761
Run 21,36.901,34.363,48.422,39.584
Run 22,36.13,39.735,44.241,57.534
Run 23,35.462,45.982,42.681,62.557
Run 24,35.863,43.528,45.824,56.235
Run 25,38.886,33.003,48.513,44.223
Run 26,35.957,44.398,46.234,51.671
Run 27,37.101,39.189,46.531,52.34
Run 28,34.67,49.682,43.625,65.49
Run 29,36.67,36.74,47.679,44.759
Run 30,35.938,48.12,46.05,58.613
Run 31,36.187,37.772,45.647,52.146
Run 32,35.667,45.808,44.069,60.755
Run 33,37.502,33.308,48.287,42.137
Run 34,36.243,37.858,47.075,47.062
Run 35,37.471,38.631,48.058,46.637
Run 36,35.55,42.719,44.904,57.077
Run 37,36.593,39.097,46.174,51.323
Run 38,35.767,40.841,46.401,50.06
Run 39,39.384,28.45,49.083,39.072
Run 40,33.869,48.073,43.002,61.455
Run 41,35.92,41.569,46.193,51.312
Run 42,38.157,32.03,48.837,39.134
Run 43,38.4,29.89,49.033,38.707
Run 44,35.671,40.776,46.394,49.352
Run 45,37.062,36.124,46.589,49.114
Run 46,33.681,51.352,42.87,63.89
Run 47,33.718,48.97,42.588,64.112
Run 48,37.534,33.023,47.613,45.32
Run 49,35.45,45.618,46.655,51.858
Run 50,36.142,37.329,45.291,55.45
Run 51,36.211,37.675,46.092,51.877
Run 52,36.587,36.828,46.883,46.801
Run 53,36.097,40.612,45.634,52.541
Run 54,38.17,38.295,47.939,49.749
Run 55,35.823,42.511,45.467,53.7
Run 56,33.235,48.199,42.976,61.112
Run 57,37.72,31.268,49.082,37.128
Run 58,35.684,40.58,46.078,51.073
Run 59,38.896,30.837,49.225,37.655
Run 60,36.147,40.385,45.954,51.325
Run 61,35.131,45.988,42.961,61.567
Run 62,36.342,46.617,46.612,55.849
Run 63,38.401,32.033,48.873,39.833
Run 64,35.879,47.344,45.036,61.02
Run 65,36.513,40.739,46.066,52.759
Run 66,38.607,30.2,48.808,39.469
Run 67,38.189,32.892,48.961,38.668
Run 68,34.773,43.106,43.88,59.707
Run 69,35.41,42.085,44.373,56.8
Run 70,35.188,48.367,44.219,62.687
Run 71,36.472,36.629,46.042,51.821
Run 72,38.132,32.82,48.788,39.754
Run 73,36.792,35.119,47.778,43.632
Run 74,36.219,46.882,45.96,57.236
Run 75,39.34,26.769,49.824,33.329
Run 76,37.745,35.272,48.546,41.004
Run 77,34.518,47.152,44.499,58.197
Run 78,36.588,43.395,47.262,49.171
Run 79,36.437,37.099,46.2,50.282
Run 80,35.49,40.705,46.533,49.208
Run 81,37.598,36.014,47.929,45.677
Run 82,37.624,37.281,46.826,49.794
Run 83,33.601,54.383,41.9,69.868
Run 84,36.459,40.443,47.323,49.582
Run 85,38.966,29.697,49.517,37.306
Run 86,35.528,41.488,46.887,49.479
Run 87,35.473,43.004,44.907,55.752
Run 88,34.891,45.635,43.902,58.242
Run 89,36.151,41.41,47.15,48.055
Run 90,33.047,48.288,43.284,62.431
Run 91,35.944,40.502,45.517,53.969
Run 92,36.832,36.16,48.158,41.633
Run 93,37.031,35.848,47.957,44.371
Run 94,34.554,45.928,44.337,56.521
Run 95,35.659,41.794,46.777,48.262
Run 96,36.801,34.718,48.364,41.688
Run 97,36.135,38.662,46.745,48.974
Run 98,37.319,39.793,46.934,50.775
Run 99,35.6,42.491,44.626,59.554
Run 100,36.491,37.369,47.399,47.122
Mean,36.286,40.221,46.213,51.194
95% CI,"(35.978, 36.594)","(38.983, 41.46)","(45.794, 46.632)","(49.516, 52.873)"
