,Train AAE,Test AAE,Train RMSE,Test RMSE,Train R^2,Test R^2
Run 1,35.442,39.744,45.421,51.84,0.28,0.187
Run 2,35.172,40.031,45.437,51.808,0.31,0.05
Run 3,35.528,39.105,45.622,50.51,0.299,0.122
Run 4,36.278,36.935,46.506,47.233,0.275,0.218
Run 5,35.304,40.314,45.315,52.46,0.297,0.108
Run 6,35.61,38.367,45.869,49.479,0.295,0.143
Run 7,35.323,41.138,45.646,54.217,0.306,-0.06
Run 8,36.017,38.289,46.248,48.427,0.282,0.186
Run 9,35.727,38.147,46.031,49.227,0.294,0.13
Run 10,35.341,39.185,45.683,49.79,0.297,0.152
Run 11,35.376,39.982,45.282,52.75,0.301,0.087
Run 12,36.148,37.648,45.968,49.118,0.292,0.145
Run 13,35.123,41.417,45.204,52.368,0.303,0.103
Run 14,34.653,43.94,44.79,58.557,0.298,-0.023
Run 15,35.884,38.181,46.105,49.237,0.282,0.175
Run 16,35.544,39.626,45.399,53.408,0.305,0.027
Run 17,35.499,39.523,45.637,50.579,0.294,0.142
Run 18,35.68,38.179,45.643,50.76,0.287,0.169
Run 19,35.267,40.02,45.471,50.87,0.294,0.16
Run 20,35.313,40.207,45.277,53.474,0.31,0.018
Run 21,35.999,38.085,46.187,49.692,0.288,0.116
Run 22,35.284,40.141,45.27,52.481,0.298,0.113
Run 23,34.942,41.87,44.863,54.166,0.307,0.077
Run 24,35.313,41.201,45.275,56.116,0.3,-0.022
Run 25,35.329,39.793,45.581,50.489,0.299,0.13
Run 26,35.196,40.198,45.146,53.382,0.306,0.065
Run 27,35.927,38.789,46.089,52.203,0.278,0.094
Run 28,35.022,40.973,45.039,52.596,0.297,0.147
Run 29,35.929,37.253,46.268,47.602,0.293,0.156
Run 30,35.051,40.857,45.0,54.621,0.288,0.121
Run 31,35.478,39.706,45.65,50.749,0.289,0.159
Run 32,35.555,39.316,45.594,51.339,0.289,0.132
Run 33,35.744,38.157,46.107,48.911,0.296,0.115
Run 34,36.047,37.506,46.385,48.02,0.29,0.134
Run 35,35.49,39.849,45.773,50.382,0.291,0.146
Run 36,35.755,38.68,46.111,49.245,0.284,0.167
Run 37,35.503,39.384,45.44,52.527,0.303,0.06
Run 38,35.629,39.185,45.964,49.367,0.307,0.056
Run 39,35.319,39.289,45.249,52.21,0.312,0.058
Run 40,35.818,39.582,46.013,55.762,0.292,-0.1
Run 41,35.089,40.591,45.077,52.507,0.305,0.108
Run 42,35.28,40.929,45.391,52.85,0.313,-0.004
Run 43,35.212,39.926,45.096,52.809,0.288,0.164
Run 44,35.855,38.369,46.185,48.37,0.286,0.172
Run 45,35.878,38.148,45.888,49.97,0.297,0.106
Run 46,35.868,38.225,46.051,49.364,0.284,0.172
Run 47,35.322,40.197,45.525,51.171,0.294,0.14
Run 48,35.289,40.628,45.515,53.584,0.303,0.009
Run 49,35.548,39.889,45.716,51.495,0.291,0.115
Run 50,35.067,40.866,45.295,51.913,0.295,0.144
Run 51,35.52,38.69,45.715,50.014,0.289,0.174
Run 52,35.81,37.885,46.112,48.832,0.296,0.121
Run 53,35.865,38.657,46.121,48.718,0.282,0.191
Run 54,36.2,37.467,46.198,48.377,0.286,0.171
Run 55,35.883,38.354,46.32,48.117,0.284,0.173
Run 56,35.557,39.578,45.625,50.522,0.299,0.122
Run 57,35.185,40.505,45.459,51.198,0.297,0.135
Run 58,35.519,39.163,45.599,51.274,0.296,0.117
Run 59,35.491,38.902,45.633,50.656,0.303,0.097
Run 60,35.183,40.52,45.279,52.642,0.301,0.092
Run 61,35.789,38.312,46.089,48.708,0.3,0.096
Run 62,35.069,41.757,44.994,53.489,0.305,0.089
Run 63,35.669,38.194,45.827,49.704,0.305,0.083
Run 64,35.451,39.738,45.638,50.888,0.3,0.104
Run 65,35.188,40.574,45.39,51.954,0.303,0.088
Run 66,36.343,37.182,46.385,47.674,0.282,0.188
Run 67,35.36,39.93,45.741,50.882,0.3,0.084
Run 68,35.426,40.045,45.444,51.883,0.289,0.151
Run 69,35.838,37.603,46.009,49.085,0.287,0.175
Run 70,35.424,40.266,45.641,50.966,0.286,0.167
Run 71,35.701,38.726,45.97,49.747,0.298,0.096
Run 72,35.942,37.528,46.268,47.822,0.295,0.135
Run 73,35.823,38.236,46.17,48.869,0.288,0.151
Run 74,35.443,39.862,45.697,53.376,0.288,0.07
Run 75,35.134,41.762,45.21,55.561,0.312,-0.064
Run 76,34.913,41.479,44.45,55.935,0.301,0.092
Run 77,35.384,40.159,45.372,53.932,0.309,-0.017
Run 78,35.569,39.228,45.897,49.626,0.299,0.111
Run 79,35.494,39.907,45.584,51.506,0.278,0.187
Run 80,35.391,39.855,45.51,51.344,0.294,0.135
Run 81,35.548,38.801,45.938,49.526,0.291,0.15
Run 82,35.315,40.034,45.519,50.881,0.288,0.18
Run 83,35.585,38.567,45.813,49.525,0.292,0.161
Run 84,35.769,39.177,46.013,49.441,0.281,0.187
Run 85,35.327,39.71,45.653,51.21,0.299,0.09
Run 86,35.864,38.439,46.091,48.823,0.29,0.151
Run 87,35.413,39.872,45.808,52.15,0.3,0.031
Run 88,35.876,38.153,46.179,52.797,0.291,-0.013
Run 89,35.501,39.121,45.857,50.002,0.287,0.166
Run 90,35.283,40.744,45.402,52.394,0.292,0.127
Run 91,35.205,39.561,45.251,51.625,0.298,0.145
Run 92,35.427,40.168,45.891,53.205,0.303,-0.05
Run 93,35.579,39.913,45.818,50.518,0.289,0.144
Run 94,35.696,39.096,46.024,53.805,0.295,-0.047
Run 95,35.626,38.259,45.935,49.408,0.314,0.017
Run 96,35.231,40.531,45.464,54.077,0.303,-0.001
Run 97,35.98,38.505,46.129,52.044,0.287,0.049
Run 98,35.565,38.728,45.667,52.925,0.309,-0.031
Run 99,34.74,41.641,44.926,53.447,0.318,0.031
Run 100,35.885,38.197,46.068,49.815,0.289,0.128
Mean,35.519,39.448,45.681,51.229,0.295,0.104
95% CI,"(35.454, 35.584)","(39.203, 39.694)","(45.6, 45.761)","(50.802, 51.656)","(0.294, 0.297)","(0.091, 0.118)"
