,Train AAE,Test AAE,Train RMSE,Test RMSE,Train R^2,Test R^2
Run 1,38.653,14.882,48.792,24.473,0.221,0.554
Run 2,35.199,29.252,46.719,37.92,0.246,0.288
Run 3,32.376,40.592,44.805,47.016,0.28,0.091
Run 4,29.314,53.821,39.028,64.866,0.423,-0.363
Run 5,35.371,28.449,45.637,44.823,0.262,-0.129
Run 6,32.54,40.938,43.271,53.498,0.306,-0.23
Run 7,31.429,47.015,42.072,57.311,0.233,0.186
Run 8,36.448,21.337,47.728,31.851,0.238,0.387
Run 9,34.459,30.285,44.82,46.692,0.262,0.198
Run 10,35.735,26.72,47.471,36.724,0.237,0.186
Run 11,31.523,44.447,40.585,60.379,0.305,0.119
Run 12,33.7,35.353,45.174,46.748,0.331,-0.546
Run 13,33.22,35.499,44.506,47.964,0.277,0.143
Run 14,32.915,38.931,43.324,51.776,0.22,0.31
Run 15,32.614,38.374,42.619,53.946,0.324,-0.025
Run 16,33.133,36.196,45.04,44.957,0.28,0.098
Run 17,34.142,33.189,45.796,42.023,0.275,0.077
Run 18,32.742,38.608,44.41,47.567,0.258,0.195
Run 19,33.896,35.343,45.487,44.454,0.183,0.429
Run 20,36.051,27.187,46.981,37.344,0.192,0.486
Run 21,34.107,31.413,46.601,38.121,0.246,0.279
Run 22,32.167,41.484,41.222,58.562,0.255,0.237
Run 23,31.601,41.555,42.699,55.063,0.344,-0.198
Run 24,31.935,39.996,42.828,52.826,0.286,0.17
Run 25,30.856,47.75,40.622,61.571,0.326,-0.078
Run 26,33.439,34.302,45.283,43.735,0.243,0.317
Run 27,32.268,38.692,42.845,52.728,0.272,0.199
Run 28,32.841,42.064,42.412,56.407,0.345,-0.277
Run 29,35.594,26.615,46.875,36.547,0.28,-0.07
Run 30,30.532,46.691,40.865,59.196,0.336,0.02
Run 31,34.568,31.409,44.665,48.132,0.245,0.138
Run 32,32.328,40.421,44.82,47.448,0.279,0.098
Run 33,34.511,39.221,45.527,47.182,0.202,0.292
Run 34,36.607,22.652,46.437,38.824,0.252,0.266
Run 35,33.97,32.965,44.842,46.88,0.257,0.118
Run 36,35.817,25.605,47.528,33.94,0.237,0.359
Run 37,35.627,25.731,47.256,34.728,0.244,0.301
Run 38,34.634,29.944,45.603,43.238,0.253,0.246
Run 39,35.165,29.761,45.6,42.965,0.219,0.321
Run 40,34.208,32.137,45.165,44.832,0.247,0.213
Run 41,33.417,39.967,44.049,53.469,0.371,-1.397
Run 42,35.866,24.995,47.171,35.02,0.226,0.412
Run 43,32.848,39.003,44.561,47.208,0.26,0.225
Run 44,33.677,37.998,44.52,49.543,0.293,-0.008
Run 45,30.281,51.436,40.169,62.215,0.265,0.194
Run 46,33.389,35.329,44.937,45.65,0.261,0.214
Run 47,34.178,33.76,45.798,42.783,0.213,0.387
Run 48,34.427,31.528,44.37,48.685,0.31,-0.128
Run 49,33.781,36.574,45.797,43.307,0.24,0.228
Run 50,35.891,28.505,46.815,38.111,0.276,0.059
Run 51,35.734,25.194,47.261,34.417,0.257,0.209
Run 52,31.73,41.338,43.304,52.856,0.271,0.047
Run 53,31.056,43.656,42.538,53.971,0.3,0.057
Run 54,32.868,37.546,44.418,48.739,0.296,0.022
Run 55,33.443,37.41,44.857,46.133,0.288,-0.092
Run 56,35.444,30.7,47.055,36.834,0.253,0.234
Run 57,34.412,30.99,45.742,42.36,0.258,0.189
Run 58,31.807,42.884,41.908,56.366,0.322,0.025
Run 59,31.735,46.931,42.613,58.744,0.253,-0.131
Run 60,33.605,36.865,43.621,52.112,0.286,-0.054
Run 61,34.49,30.696,45.077,45.018,0.231,0.339
Run 62,29.492,51.275,38.55,65.918,0.376,-0.089
Run 63,33.189,36.603,44.543,48.443,0.256,0.209
Run 64,35.259,27.317,47.506,33.419,0.221,0.449
Run 65,34.668,31.736,46.506,39.703,0.189,0.461
Run 66,29.949,51.161,41.016,59.779,0.29,0.004
Run 67,32.052,44.039,43.079,52.798,0.263,0.14
Run 68,30.741,47.299,40.985,59.544,0.28,0.148
Run 69,33.191,36.374,44.631,47.393,0.252,0.182
Run 70,31.417,47.212,41.292,58.811,0.372,-0.3
Run 71,33.193,37.023,45.293,44.863,0.242,0.235
Run 72,31.198,46.082,40.534,61.732,0.355,-0.103
Run 73,33.618,35.917,44.371,48.83,0.289,0.017
Run 74,35.45,29.771,46.174,41.717,0.188,0.445
Run 75,35.898,25.665,46.499,39.523,0.294,-0.197
Run 76,33.329,34.891,43.991,51.057,0.347,-0.51
Run 77,35.333,31.206,46.467,39.802,0.254,0.185
Run 78,37.669,18.394,48.443,27.41,0.246,0.369
Run 79,36.943,23.849,47.74,32.423,0.261,0.108
Run 80,32.678,38.496,43.845,51.299,0.309,-0.068
Run 81,34.463,29.93,46.697,37.777,0.242,0.325
Run 82,31.089,46.023,42.062,55.863,0.293,0.137
Run 83,35.428,27.615,47.056,36.144,0.257,0.133
Run 84,33.854,35.107,44.821,46.657,0.26,0.215
Run 85,36.067,25.011,47.341,34.247,0.205,0.497
Run 86,33.345,37.253,44.306,48.117,0.282,0.144
Run 87,33.995,33.771,46.194,41.033,0.231,0.318
Run 88,34.732,29.732,46.756,37.128,0.231,0.37
Run 89,34.666,38.178,45.28,47.536,0.232,0.055
Run 90,35.003,31.906,45.765,42.965,0.238,0.303
Run 91,33.786,33.8,44.962,45.959,0.216,0.364
Run 92,33.285,36.551,44.517,48.477,0.291,-0.207
Run 93,35.592,28.625,46.807,37.843,0.23,0.363
Run 94,32.132,41.984,43.233,54.292,0.235,0.109
Run 95,34.531,30.086,46.689,37.688,0.252,0.209
Run 96,34.141,38.313,44.586,49.157,0.213,0.211
Run 97,30.646,52.026,40.974,60.43,0.221,0.239
Run 98,34.888,28.795,46.14,40.52,0.252,0.18
Run 99,35.236,28.864,46.42,40.165,0.221,0.359
Run 100,32.939,36.603,44.618,48.447,0.298,-0.192
Mean,33.674,35.446,44.672,46.537,0.266,0.123
95% CI,"(33.312, 34.036)","(33.905, 36.987)","(44.241, 45.104)","(44.817, 48.257)","(0.258, 0.275)","(0.07, 0.175)"
