,Train AAE,Test AAE,Train RMSE,Test RMSE
Run 1,31.106,42.958,40.724,52.79
Run 2,28.938,48.352,38.777,59.692
Run 3,32.958,36.043,43.427,43.702
Run 4,34.809,27.972,45.323,34.969
Run 5,31.591,40.779,42.376,48.71
Run 6,34.929,25.501,45.904,31.435
Run 7,29.506,48.079,39.314,57.974
Run 8,30.902,44.747,40.66,54.624
Run 9,31.648,39.99,41.891,50.397
Run 10,30.648,50.695,39.709,59.725
Run 11,32.955,36.541,41.057,53.919
Run 12,32.359,38.879,40.783,53.622
Run 13,34.63,33.097,44.244,41.932
Run 14,33.607,39.444,43.615,46.635
Run 15,32.754,43.605,40.875,58.385
Run 16,35.324,23.838,46.028,29.725
Run 17,33.283,33.442,44.198,41.299
Run 18,34.125,28.334,43.732,41.44
Run 19,32.275,37.33,41.792,48.796
Run 20,34.014,29.01,44.147,41.246
Run 21,32.318,43.504,40.244,56.226
Run 22,35.038,30.095,45.123,38.03
Run 23,33.774,34.385,43.497,45.636
Run 24,33.035,33.295,44.223,39.967
Run 25,30.761,40.089,41.294,51.56
Run 26,32.021,38.052,41.96,48.899
Run 27,30.808,46.974,39.843,57.15
Run 28,32.122,40.565,40.843,53.024
Run 29,32.391,37.326,42.505,48.2
Run 30,33.982,33.566,44.059,43.072
Run 31,34.888,26.77,44.743,37.554
Run 32,32.444,36.076,41.201,52.143
Run 33,33.272,32.078,44.018,41.534
Run 34,35.398,25.996,45.188,35.702
Run 35,28.46,53.672,35.85,67.595
Run 36,33.794,28.996,44.387,39.637
Run 37,34.809,30.495,44.412,40.036
Run 38,32.476,39.326,41.293,51.399
Run 39,32.735,33.274,43.682,41.964
Run 40,33.156,34.52,44.01,41.66
Run 41,31.279,39.614,42.206,49.113
Run 42,31.358,42.217,41.107,52.454
Run 43,32.516,36.32,43.385,45.827
Run 44,31.537,39.532,42.813,48.476
Run 45,33.355,32.896,44.128,39.962
Run 46,32.958,44.371,40.268,58.894
Run 47,33.063,33.895,43.333,44.225
Run 48,31.836,37.871,41.76,52.491
Run 49,32.292,34.96,42.519,47.211
Run 50,30.383,46.128,40.118,55.134
Run 51,34.332,33.987,43.636,44.018
Run 52,33.108,45.982,41.507,55.935
Run 53,34.738,27.09,45.741,31.935
Run 54,30.806,45.249,39.89,56.055
Run 55,32.748,36.939,43.421,43.911
Run 56,33.11,35.039,42.535,47.237
Run 57,33.305,33.268,44.584,41.714
Run 58,30.242,46.325,38.303,60.047
Run 59,33.95,30.277,44.283,39.196
Run 60,31.482,39.346,42.275,48.548
Run 61,34.707,27.944,45.214,34.884
Run 62,33.098,35.679,43.206,44.791
Run 63,32.291,35.376,42.443,47.411
Run 64,31.327,44.777,40.799,55.629
Run 65,35.486,26.166,44.966,39.341
Run 66,33.207,35.377,43.866,44.833
Run 67,32.699,34.161,42.419,48.729
Run 68,32.074,38.81,42.191,49.215
Run 69,32.58,37.381,43.463,47.023
Run 70,31.99,39.387,40.621,53.819
Run 71,32.17,36.65,41.576,50.82
Run 72,35.32,25.582,45.73,31.937
Run 73,32.418,35.96,43.17,44.025
Run 74,31.782,41.443,42.104,50.261
Run 75,34.565,26.964,44.694,39.481
Run 76,31.766,39.696,40.01,54.794
Run 77,32.159,39.469,42.724,51.049
Run 78,32.158,44.312,40.873,54.876
Run 79,31.203,41.969,41.479,53.879
Run 80,30.949,40.883,41.415,51.583
Run 81,35.247,25.599,45.918,30.639
Run 82,31.064,41.548,40.156,54.464
Run 83,31.45,39.019,42.841,46.418
Run 84,33.776,37.415,43.913,44.745
Run 85,32.334,36.739,42.761,48.273
Run 86,33.107,31.198,44.308,39.609
Run 87,33.436,36.069,43.723,43.406
Run 88,31.914,40.802,41.865,51.15
Run 89,30.517,41.561,40.003,55.529
Run 90,30.599,45.625,38.83,59.12
Run 91,33.252,33.391,43.606,43.391
Run 92,33.773,34.916,43.301,45.794
Run 93,35.041,25.271,45.942,31.013
Run 94,30.965,42.869,41.435,51.357
Run 95,29.844,47.194,38.414,63.687
Run 96,32.072,39.682,42.406,47.615
Run 97,33.529,36.805,43.596,43.573
Run 98,32.607,34.558,43.536,42.527
Run 99,30.285,43.507,40.177,55.734
Run 100,31.945,38.772,42.605,48.529
Mean,32.591,37.095,42.511,47.393
95% CI,"(32.29, 32.893)","(35.836, 38.354)","(42.116, 42.905)","(45.845, 48.942)"
