,Train AAE,Test AAE,Train RMSE,Test RMSE
Run 1,40.995,34.422,51.689,42.409
Run 2,38.0,45.295,47.939,57.235
Run 3,39.848,39.576,49.884,51.301
Run 4,37.919,46.067,49.27,54.976
Run 5,37.555,45.695,48.738,55.649
Run 6,38.898,40.883,50.088,49.475
Run 7,39.899,39.148,50.754,47.405
Run 8,38.309,42.444,49.107,53.465
Run 9,37.601,49.477,48.803,56.806
Run 10,40.227,36.478,50.948,46.538
Run 11,41.178,32.603,51.48,43.506
Run 12,37.843,45.585,47.953,58.754
Run 13,40.249,35.708,51.401,44.378
Run 14,40.16,38.116,50.237,49.193
Run 15,39.919,36.477,51.029,46.926
Run 16,40.902,32.993,51.464,43.275
Run 17,38.305,42.201,49.511,52.025
Run 18,38.26,46.166,48.477,56.476
Run 19,40.46,36.808,50.905,46.098
Run 20,39.09,42.502,50.191,50.338
Run 21,39.282,38.884,49.735,51.634
Run 22,38.826,41.144,48.945,53.992
Run 23,39.269,41.188,49.147,54.033
Run 24,41.053,34.0,50.251,48.857
Run 25,38.343,44.631,48.824,54.387
Run 26,39.41,41.623,49.345,52.941
Run 27,40.439,34.943,50.194,50.358
Run 28,37.936,43.474,48.551,56.897
Run 29,39.729,38.249,50.464,47.889
Run 30,37.446,48.325,48.262,57.799
Run 31,38.105,44.291,48.911,54.344
Run 32,38.733,43.852,48.585,55.628
Run 33,38.749,44.733,49.058,54.645
Run 34,40.338,35.193,50.859,47.502
Run 35,39.805,38.245,50.336,48.723
Run 36,40.249,38.366,50.631,47.873
Run 37,40.492,35.889,50.734,47.107
Run 38,39.299,42.4,49.629,52.108
Run 39,39.078,40.828,50.274,50.027
Run 40,38.969,42.115,48.524,55.908
Run 41,40.119,39.775,50.036,51.287
Run 42,40.716,36.4,50.993,46.761
Run 43,38.696,43.579,49.269,53.401
Run 44,39.55,40.873,50.184,49.445
Run 45,40.759,34.981,50.823,47.486
Run 46,38.801,42.665,49.122,53.326
Run 47,39.053,40.238,50.09,50.923
Run 48,40.701,36.202,50.788,46.844
Run 49,40.749,33.625,51.515,43.691
Run 50,40.525,37.252,51.422,45.134
Run 51,39.138,40.427,50.18,49.469
Run 52,38.851,43.798,49.006,54.559
Run 53,40.501,36.844,50.315,48.9
Run 54,40.326,37.877,50.826,46.937
Run 55,39.747,39.126,49.898,50.494
Run 56,38.36,42.279,49.463,53.396
Run 57,40.214,35.526,51.084,46.44
Run 58,37.61,49.047,48.405,56.461
Run 59,39.712,37.357,51.195,45.18
Run 60,40.44,37.963,50.484,48.368
Run 61,38.068,47.368,48.074,59.57
Run 62,37.507,48.789,46.897,61.204
Run 63,39.254,39.098,50.335,48.963
Run 64,41.871,28.95,52.999,35.69
Run 65,40.917,32.608,51.824,42.088
Run 66,38.658,43.401,48.463,56.916
Run 67,35.622,54.047,45.755,65.207
Run 68,40.557,36.855,50.924,46.712
Run 69,39.123,41.979,50.149,50.625
Run 70,38.185,43.989,49.642,52.021
Run 71,37.642,46.854,47.972,57.765
Run 72,41.742,30.096,52.574,37.423
Run 73,39.653,38.192,50.25,49.028
Run 74,39.424,42.349,48.676,56.124
Run 75,40.103,39.189,49.6,52.08
Run 76,39.262,38.772,48.888,54.195
Run 77,38.233,44.122,49.42,54.05
Run 78,40.237,36.076,51.113,45.005
Run 79,39.0,44.576,48.746,55.881
Run 80,37.763,46.588,48.146,56.84
Run 81,39.392,41.069,48.818,54.309
Run 82,39.648,39.328,49.165,53.806
Run 83,39.328,43.605,49.994,51.876
Run 84,38.774,41.697,48.262,56.683
Run 85,36.159,53.279,45.963,64.617
Run 86,41.339,34.656,51.997,41.546
Run 87,38.924,41.144,49.681,51.827
Run 88,38.789,41.21,48.994,54.077
Run 89,42.005,30.475,52.007,41.256
Run 90,39.559,39.736,49.947,50.166
Run 91,37.757,48.656,47.879,59.157
Run 92,39.638,38.456,50.208,49.258
Run 93,38.338,44.068,47.343,60.252
Run 94,39.039,43.104,49.596,51.814
Run 95,39.743,37.716,50.381,48.923
Run 96,38.954,42.121,49.324,53.391
Run 97,37.575,46.31,48.489,55.982
Run 98,39.376,40.986,50.521,49.256
Run 99,39.906,37.812,50.427,48.86
Run 100,40.336,37.862,50.741,47.619
Mean,39.331,40.54,49.764,51.194
95% CI,"(39.095, 39.568)","(39.59, 41.491)","(49.505, 50.023)","(50.137, 52.252)"
