,Train AAE,Test AAE,Train RMSE,Test RMSE,Train R^2,Test R^2
Run 1,35.926,47.14,45.515,54.584,0.317,0.344
Run 2,37.695,40.421,46.594,50.773,0.322,0.348
Run 3,40.003,31.811,48.39,44.006,0.319,0.357
Run 4,37.03,42.475,46.703,52.084,0.328,0.275
Run 5,37.983,38.347,46.884,49.263,0.322,0.351
Run 6,36.42,48.82,45.363,57.281,0.349,0.202
Run 7,39.01,33.658,48.042,44.477,0.34,0.282
Run 8,39.351,30.948,49.749,35.74,0.328,0.368
Run 9,37.128,42.519,44.584,60.066,0.349,-0.337
Run 10,37.562,40.67,46.289,51.392,0.356,0.187
Run 11,36.56,43.147,46.25,51.757,0.356,0.227
Run 12,37.222,42.94,45.803,53.273,0.327,0.279
Run 13,37.538,42.314,45.837,54.167,0.39,-0.094
Run 14,35.772,47.789,45.757,54.689,0.401,-0.116
Run 15,40.459,29.338,50.232,35.544,0.337,0.18
Run 16,34.032,53.465,43.048,61.834,0.398,0.111
Run 17,37.756,37.835,47.286,48.115,0.318,0.332
Run 18,37.738,42.056,46.377,51.933,0.306,0.274
Run 19,40.881,29.19,49.394,38.39,0.312,0.431
Run 20,38.478,37.772,48.251,44.197,0.264,0.46
Run 21,37.623,40.325,47.003,49.379,0.331,0.133
Run 22,35.339,48.021,45.237,56.851,0.381,0.055
Run 23,36.119,44.769,45.502,56.35,0.357,0.159
Run 24,35.989,47.125,44.925,60.174,0.393,-0.159
Run 25,34.897,54.354,43.796,60.761,0.364,0.214
Run 26,39.252,39.727,47.005,51.042,0.346,0.151
Run 27,37.757,39.28,48.412,43.427,0.297,0.358
Run 28,35.398,54.184,44.777,66.269,0.456,-1.155
Run 29,37.53,41.918,46.781,50.128,0.343,0.186
Run 30,39.59,33.192,49.085,40.314,0.275,0.533
Run 31,40.111,33.622,49.137,40.868,0.352,0.061
Run 32,38.087,43.755,46.38,54.643,0.329,0.227
Run 33,39.328,34.134,49.481,39.366,0.286,0.489
Run 34,36.88,42.327,45.65,53.66,0.35,0.269
Run 35,39.547,36.189,47.163,48.564,0.334,0.285
Run 36,38.009,39.479,48.012,45.209,0.358,0.154
Run 37,37.598,43.591,46.455,51.937,0.387,-0.005
Run 38,38.012,40.765,46.274,51.993,0.308,0.383
Run 39,37.566,40.591,46.27,52.349,0.326,0.31
Run 40,40.358,34.194,48.489,43.491,0.327,0.286
Run 41,39.926,29.643,49.676,36.377,0.337,0.244
Run 42,36.457,44.804,45.605,54.385,0.327,0.327
Run 43,35.461,49.39,44.272,59.47,0.364,0.123
Run 44,37.503,41.684,47.575,48.499,0.325,0.275
Run 45,37.468,40.274,45.445,56.121,0.397,-0.072
Run 46,37.007,44.746,45.951,55.7,0.343,0.121
Run 47,38.928,33.614,48.221,44.47,0.319,0.348
Run 48,40.531,29.787,50.15,34.016,0.333,0.316
Run 49,38.132,39.635,47.805,45.266,0.338,0.245
Run 50,38.569,36.252,48.545,43.489,0.339,0.177
Run 51,35.762,49.675,44.068,62.052,0.344,0.076
Run 52,36.805,42.85,45.914,53.943,0.341,0.201
Run 53,36.308,46.182,45.925,55.146,0.383,-0.015
Run 54,36.77,45.282,45.715,56.308,0.324,-0.027
Run 55,35.465,47.767,42.878,61.981,0.362,0.267
Run 56,37.21,40.784,47.467,47.598,0.349,0.223
Run 57,38.451,36.327,48.699,40.946,0.318,0.414
Run 58,37.389,44.123,46.542,53.466,0.365,0.085
Run 59,36.912,41.563,47.46,47.468,0.368,0.101
Run 60,36.675,42.98,47.41,47.688,0.322,0.301
Run 61,39.922,31.143,49.705,37.378,0.256,0.579
Run 62,39.624,37.128,49.421,40.304,0.294,0.387
Run 63,38.564,36.088,48.593,42.158,0.37,-0.027
Run 64,37.471,42.407,47.154,48.84,0.305,0.357
Run 65,37.72,39.891,46.863,49.033,0.327,0.345
Run 66,37.346,39.785,46.913,48.866,0.339,0.307
Run 67,40.206,30.233,49.651,38.166,0.327,0.285
Run 68,38.545,35.9,48.203,44.537,0.345,0.211
Run 69,38.549,39.244,47.717,47.841,0.29,0.192
Run 70,37.388,40.564,47.083,49.35,0.4,-0.23
Run 71,39.322,34.922,48.774,41.055,0.344,0.226
Run 72,38.567,41.147,46.63,52.202,0.35,0.144
