,Train AAE,Test AAE,Train RMSE,Test RMSE
Run 1,24.0,27.618,28.791,34.986
Run 2,24.173,27.169,29.719,31.679
Run 3,24.77,23.843,30.173,29.378
Run 4,25.429,23.358,30.508,28.179
Run 5,26.025,20.716,31.109,24.971
Run 6,24.717,25.536,30.071,29.578
Run 7,24.52,25.488,29.844,30.863
Run 8,23.534,29.517,28.441,35.532
Run 9,24.674,24.243,30.388,28.403
Run 10,24.688,27.064,29.504,33.494
Run 11,23.478,29.063,27.54,38.99
Run 12,25.609,22.552,30.537,28.949
Run 13,24.15,27.509,28.989,33.775
Run 14,25.323,24.36,30.775,26.966
Run 15,24.008,28.1,28.459,35.492
Run 16,24.077,28.082,28.778,34.356
Run 17,25.368,23.962,30.65,27.754
Run 18,23.452,30.379,28.188,36.455
Run 19,25.272,23.58,30.318,29.042
Run 20,24.15,26.728,28.968,33.944
Run 21,24.551,26.67,29.675,31.591
Run 22,24.428,26.098,29.946,31.201
Run 23,24.178,26.864,29.203,33.609
Run 24,24.943,23.496,29.868,30.512
Run 25,25.544,22.688,30.856,26.38
Run 26,25.579,22.869,30.79,26.553
Run 27,23.426,29.873,28.224,36.782
Run 28,25.169,23.865,29.923,30.56
Run 29,25.145,24.684,30.101,29.812
Run 30,25.667,21.17,31.011,25.785
Run 31,24.715,24.928,29.6,31.459
Run 32,24.369,25.735,29.442,32.572
Run 33,24.148,27.062,29.015,33.722
Run 34,25.044,25.491,29.888,30.468
Run 35,25.352,22.607,30.776,26.967
Run 36,24.512,25.363,30.023,30.217
Run 37,24.635,24.882,30.166,30.389
Run 38,25.881,22.872,30.981,26.978
Run 39,24.289,27.086,29.584,31.63
Run 40,24.792,25.766,30.036,29.884
Run 41,25.581,23.58,30.563,28.069
Run 42,24.975,24.539,29.782,31.04
Run 43,24.433,26.106,29.381,32.672
Run 44,24.896,26.064,30.341,28.899
Run 45,24.586,26.219,29.288,32.678
Run 46,24.973,24.027,30.108,29.756
Run 47,23.238,29.858,28.222,36.732
Run 48,24.637,25.134,29.893,30.264
Run 49,23.747,28.728,28.619,35.063
Run 50,25.254,25.06,30.25,29.93
Run 51,23.913,28.598,29.043,33.825
Run 52,24.084,28.077,29.114,33.632
Run 53,25.636,23.105,30.823,27.521
Run 54,25.205,22.135,30.07,30.507
Run 55,25.178,23.6,30.611,27.49
Run 56,25.246,22.94,30.927,26.138
Run 57,24.792,25.765,30.078,29.845
Run 58,24.997,25.461,29.882,30.559
Run 59,25.117,24.978,30.53,28.488
Run 60,24.927,25.259,29.861,30.795
Run 61,25.433,22.048,30.648,27.267
Run 62,25.882,21.863,31.083,25.861
Run 63,25.258,24.453,30.26,28.979
Run 64,23.999,27.598,29.384,32.516
Run 65,24.71,26.18,29.696,31.63
Run 66,24.299,27.662,29.796,31.227
Run 67,23.808,28.799,28.807,34.624
Run 68,24.901,24.569,30.266,29.082
Run 69,25.433,22.532,30.711,27.413
Run 70,23.321,31.417,28.215,36.944
Run 71,24.124,26.614,29.064,35.755
Run 72,25.289,23.799,30.482,28.275
Run 73,24.894,25.378,30.233,29.565
Run 74,24.624,26.07,29.716,31.32
Run 75,24.174,26.851,29.114,33.274
Run 76,25.234,22.944,29.956,30.113
Run 77,25.22,23.054,30.489,28.663
Run 78,24.001,27.265,28.84,34.223
Run 79,25.087,24.215,30.43,28.223
Run 80,24.236,27.593,29.315,32.723
Run 81,25.563,23.039,30.887,26.235
Run 82,25.377,22.035,30.96,25.884
Run 83,24.333,26.254,29.556,32.013
Run 84,25.558,24.796,30.581,28.65
Run 85,24.636,24.861,29.924,30.475
Run 86,24.204,26.337,30.033,29.983
Run 87,24.548,25.001,29.677,31.586
Run 88,25.243,23.895,30.078,30.275
Run 89,24.364,27.145,29.559,32.213
Run 90,24.488,26.296,29.866,30.978
Run 91,23.452,29.503,28.605,35.832
Run 92,25.148,24.976,30.048,30.067
Run 93,24.699,25.783,30.172,29.595
Run 94,24.502,27.608,29.546,32.499
Run 95,24.444,26.081,29.994,30.342
Run 96,23.77,28.659,29.314,32.653
Run 97,24.846,26.338,30.122,30.083
Run 98,23.916,28.703,29.315,32.903
Run 99,25.564,22.309,30.813,26.444
Run 100,24.244,26.755,29.567,33.191
Mean,24.7,25.554,29.834,30.833
95% CI,"(24.572, 24.829)","(25.111, 25.998)","(29.682, 29.986)","(30.246, 31.421)"
