,Train AAE,Test AAE,Train RMSE,Test RMSE,Train R^2,Test R^2
Run 1,32.92,34.44,45.491,40.816,0.332,-0.394
Run 2,33.953,31.043,45.445,40.837,0.277,0.241
Run 3,33.473,39.944,43.318,50.005,0.242,0.271
Run 4,33.208,33.798,43.937,46.21,0.308,0.112
Run 5,32.481,35.837,42.815,50.504,0.342,-0.045
Run 6,32.659,34.824,44.227,45.377,0.252,0.354
Run 7,31.747,41.991,43.648,52.278,0.335,-0.312
Run 8,32.887,34.51,44.647,45.804,0.318,-0.121
Run 9,31.429,40.694,42.952,49.781,0.28,0.216
Run 10,34.155,30.101,44.951,42.359,0.257,0.35
Run 11,32.364,40.974,41.952,54.085,0.299,0.17
Run 12,31.417,40.945,42.843,51.349,0.347,-0.154
Run 13,33.268,34.079,43.435,48.936,0.268,0.263
Run 14,32.381,39.78,44.197,47.665,0.318,-0.059
Run 15,32.755,36.895,43.448,49.009,0.303,0.052
Run 16,31.234,45.144,41.438,57.753,0.371,-0.261
Run 17,35.664,23.758,47.12,30.905,0.254,0.446
Run 18,34.098,34.424,44.904,44.989,0.278,-0.222
Run 19,33.696,35.26,43.914,47.442,0.257,0.21
Run 20,32.553,37.771,43.833,49.911,0.347,-0.384
Run 21,31.779,41.071,42.6,52.629,0.345,-0.079
Run 22,32.343,40.258,42.512,53.01,0.312,-0.015
Run 23,35.21,24.603,46.744,32.896,0.258,0.358
Run 24,32.298,38.583,43.173,53.729,0.366,-0.562
Run 25,33.916,36.37,43.931,48.002,0.302,-0.102
Run 26,31.573,40.875,42.066,54.528,0.26,0.242
Run 27,33.962,30.546,45.108,42.796,0.33,-0.351
Run 28,31.946,39.845,42.184,54.973,0.362,-0.296
Run 29,34.251,30.543,45.55,39.68,0.287,0.212
Run 30,34.902,28.275,45.659,41.05,0.298,0.045
Run 31,31.622,39.443,42.936,50.326,0.315,0.066
Run 32,34.598,29.195,45.6,38.908,0.248,0.412
Run 33,33.303,33.371,44.511,44.82,0.248,0.223
Run 34,32.429,36.64,44.372,44.214,0.251,0.339
Run 35,33.907,32.095,45.237,43.589,0.206,0.31
Run 36,32.977,34.2,45.04,41.72,0.304,0.12
Run 37,34.663,28.572,45.42,39.781,0.262,0.35
Run 38,32.227,40.505,41.593,55.294,0.35,-0.107
Run 39,31.75,44.487,42.185,53.982,0.296,-0.072
Run 40,32.244,36.139,42.801,53.103,0.376,-0.536
Run 41,32.072,37.895,42.092,54.099,0.36,-0.207
Run 42,33.027,33.104,44.085,46.076,0.327,-0.106
Run 43,35.301,26.739,46.647,34.484,0.269,0.313
Run 44,33.08,34.611,43.093,50.496,0.273,0.256
Run 45,32.352,40.479,42.883,51.661,0.305,0.103
Run 46,33.804,31.367,45.733,39.164,0.228,0.376
Run 47,33.109,34.394,44.378,45.575,0.242,0.193
Run 48,33.799,30.976,43.606,48.937,0.363,-0.652
Run 49,31.488,41.382,42.011,53.362,0.308,0.139
Run 50,33.132,34.851,44.217,46.191,0.292,0.176
Run 51,32.892,36.649,42.711,51.465,0.264,0.29
Run 52,32.985,38.777,44.175,46.64,0.283,0.139
Run 53,33.661,32.343,44.386,44.577,0.267,0.313
Run 54,34.983,26.42,46.342,35.062,0.257,0.391
Run 55,31.021,43.341,41.256,56.248,0.354,-0.092
Run 56,31.521,40.121,41.08,56.091,0.348,0.024
Run 57,33.522,33.62,45.119,43.143,0.344,-0.518
Run 58,34.854,28.429,46.253,37.259,0.227,0.441
Run 59,33.488,32.976,43.778,46.856,0.306,0.13
Run 60,33.422,35.098,44.012,46.885,0.268,0.247
Run 61,33.936,31.961,45.204,42.011,0.184,0.512
Run 62,33.063,36.633,44.547,44.17,0.251,0.352
Run 63,35.295,29.275,45.766,39.257,0.253,0.246
Run 64,34.294,28.144,44.853,42.267,0.3,0.166
Run 65,32.886,37.146,44.328,45.985,0.257,0.254
Run 66,33.195,35.855,45.031,42.708,0.264,0.228
Run 67,31.172,43.494,42.15,55.838,0.326,-0.045
Run 68,36.356,20.264,47.231,30.982,0.232,0.518
Run 69,33.034,34.897,43.428,48.196,0.299,0.182
Run 70,34.098,31.03,45.333,40.729,0.28,0.231
Run 71,31.249,40.933,41.454,56.912,0.374,-0.394
Run 72,32.397,39.921,43.888,48.281,0.314,0.013
Run 73,32.418,37.158,44.248,45.977,0.319,-0.066
Run 74,34.438,27.65,45.139,41.723,0.298,0.141
Run 75,34.29,29.29,45.633,39.769,0.265,0.314
Run 76,34.339,29.796,45.027,42.623,0.284,0.208
Run 77,31.931,37.402,43.514,47.472,0.303,0.183
Run 78,35.152,25.503,46.293,35.624,0.304,0.024
