,sigma,tau,V_m (nm3),Eccentricity(Ear),Eccentricity(Eal)
Run 1,0.12127152975975243,0.1916596957274479,0.40779128037715134,0.14502105336636129,0.13425644076928714
Run 2,0.0864134605678123,0.13548225708230766,0.40049903268964604,0.2297373373503528,0.14786791230988114
Run 3,0.14145055190082287,0.10486230870509365,0.4556358708958603,0.20656060411052443,0.09149066438769886
Run 4,0.1350498073181815,0.12400632350805484,0.5060488307910723,0.13154848409459255,0.10334655428809873
Run 5,0.141262639443117,0.13948468260695462,0.43994675059013466,0.1688666031390832,0.11043932422071054
Run 6,0.12314617715311514,0.12202706119536623,0.4563823889535919,0.18015463895140657,0.11828973374652015
Run 7,0.11641703927493144,0.16633231977487795,0.45303791285281425,0.16684460590959924,0.09736812218777721
Run 8,0.17134697217730135,0.08974694520303339,0.39298554593002677,0.20760586075322854,0.13831467593640995
Run 9,0.1377904291399805,0.10237814508452506,0.5679176140192501,0.13454872214451305,0.0573650896117313
Run 10,0.07825912147432743,0.131034887616354,0.4207335206272873,0.2260244886607127,0.1439479816213187
Run 11,0.13533744035335898,0.14464181326603168,0.4546951402099302,0.16793009486555285,0.09739551130512625
Run 12,0.15219932592959046,0.12688614621929525,0.411171198056282,0.18792494918332098,0.1218183806115114
Run 13,0.10225422790391782,0.09540077787361081,0.4387410761111387,0.22674280932339017,0.1368611087879425
Run 14,0.0956281344316678,0.12078800704826119,0.42214126352852127,0.23934647833832257,0.12209611665322717
Run 15,0.11342039271558703,0.18609111020960348,0.45825782164020745,0.13133311171762757,0.11089756371697447
Run 16,0.13018766323465294,0.11998556329763461,0.4342208260397683,0.1685910135629466,0.1470149338649976
Run 17,0.09576928358303938,0.12178702532290836,0.41742962392479127,0.2393724138967568,0.1256416532725042
Run 18,0.15255192023565117,0.10542377132585631,0.44737374053183226,0.18224468492341864,0.1124058829832417
Run 19,0.09443022988218584,0.10860923744620807,0.4298551166659835,0.24140912637849288,0.12569628962712984
Run 20,0.14094959692570885,0.12999228733858373,0.4248875257198234,0.16122645678576858,0.14294413323011543
Run 21,0.11879594406461552,0.161156477585686,0.46153820327533135,0.15167382735288779,0.10683554772147934
Run 22,0.10724666726875436,0.11241652769810788,0.5035932098458804,0.19605296082178747,0.08069063436546996
Run 23,0.15102843795073564,0.13401314543616613,0.3648011378529318,0.20449851268944433,0.14565876607072215
