,sigma,SP3 (LIN),SP3 (BR),SP2,Ring,V_m (nm3),Eccentricity(Ear),Eccentricity(Eal)
Run 1,0.17829556113595063,0.07432636443573382,0.04441338925867619,0.028504783630637843,0.014773312469856723,0.3889023911345145,0.16764159564309758,0.10314260229153267
Run 2,0.08511190037472365,0.07266336552432766,0.04695627311145,0.03784222047583504,0.03524863020586953,0.33821364335889953,0.2366860039696332,0.14727796297926135
Run 3,0.0906773906726747,0.07962478534866052,0.07266210832063735,0.028697160407238635,0.024552535076799796,0.44321007355632847,0.17086471549072804,0.08971123112693254
Run 4,0.12664745742319794,0.0672236209887757,0.04318200147028621,0.03637929593907547,0.011935249969860878,0.3764239044620537,0.19876574894299412,0.13944272080375603
Run 5,0.14519118111993373,0.0784175013122909,0.03668934056631275,0.033960450722462905,0.017293166113178233,0.3866750020191202,0.17960248505298587,0.12217087309371541
Run 6,0.10688646919633377,0.09938741072900803,0.047340061527345434,0.030663046524395186,0.02675460916180259,0.3587756394867864,0.1788362158960684,0.15135654747826008
Run 7,0.1348729654554586,0.07505434989433038,0.035981651423324386,0.02483241390577025,0.01928366202457048,0.39581583220170796,0.18143493950379205,0.13272418559104587
Run 8,0.127242121615974,0.08604814936079937,0.03715269978174032,0.0184165036782273,0.012411397389064166,0.5359589328569524,0.12644124792916586,0.05632894738807667
Run 9,0.09633008083148238,0.09152207105030029,0.061452462235851164,0.03511717360237396,0.0247422216094874,0.39325223208501725,0.18230168092510113,0.11528207766038653
Run 10,0.11228092712634549,0.09386950667577329,0.05880924279638885,0.02826008981400495,0.02020451158197679,0.4027941013212182,0.16007536537743097,0.1237062553068616
Run 11,0.10138155986811283,0.06643459376580454,0.056067971214141955,0.03526553979975449,0.024528905097932648,0.4155664817430158,0.20083606588701883,0.09991888262421904
Run 12,0.1358688207361817,0.0713341403393805,0.03678654790816558,0.03125411350102025,0.02323584007255574,0.3987408264381225,0.20550838971035643,0.09727132129421732
Run 13,0.18375541840191326,0.07981880960010546,0.03562966666521024,0.03041857698514615,0.023230682416342904,0.3389145264479035,0.19149792721874792,0.11673439226463071
Run 14,0.06887299909250551,0.0998207512819327,0.07646418042236344,0.03576913780683601,0.015510121477211328,0.42987454032353517,0.1751037121532201,0.09858455744239591
Run 15,0.19184521940982838,0.07469239656809587,0.0476903840523591,0.027274173348594638,0.01811810585978486,0.33137259333392793,0.2086054907538914,0.10040163667351795
Run 16,0.1061804017907413,0.07404299472438941,0.02337577864767196,0.04070634128326046,0.025549469919099663,0.37197002862952666,0.26139996793176845,0.09677501707354212
Run 17,0.18467627013936086,0.0702865842882377,0.04287103871707844,0.0205937670771246,0.02479187881501043,0.35894963912039585,0.19891825896481236,0.0989125628779798
Run 18,0.11713236661781905,0.09245353876539676,0.043349076079013456,0.0275865988764794,0.017248432644685348,0.3952976718938162,0.19653046629065218,0.11040184883213758
Run 19,0.13742664418329256,0.06483561060330388,0.045706600257029335,0.027610067201018072,0.01828981136316192,0.3172023551222074,0.24354269034422063,0.1453862209257661
Run 20,0.09452744474157222,0.10099829507650665,0.042485836721407544,0.024002094278986474,0.028958845789462315,0.34577104237282485,0.19205331093714537,0.17120313008209456
Run 21,0.15342485775336756,0.07896849081757068,0.05243464608107258,0.031643718140363326,0.029746203118503515,0.39666623376640325,0.16402851359321546,0.09308733672950359
Run 22,0.11057172533324823,0.0888545799192768,0.05930103874329845,0.019382975785066852,0.019319707727188294,0.40024888512718326,0.2075779591901191,0.09474312817461894
Run 23,0.1808155844137822,0.0784542565307247,0.043784360179388214,0.03371359997405855,0.009905702174713751,0.4091860048027297,0.169660979676125,0.0744795122484778
Run 24,0.11727221260031062,0.08098922511769881,0.03846397790557973,0.027471232095966965,0.012332400669821416,0.3672971514564983,0.22657658945874745,0.1295972106953767
Run 25,0.11600007782790503,0.05859917876593551,0.037768638257575086,0.041229646465860297,0.023596253946607755,0.3947594549795565,0.2200061438434491,0.10804060591311082
Run 26,0.13741766721639156,0.1008906037731654,0.042926928368539216,0.020507320761877806,0.010745835221468481,0.3939389625516428,0.16104264363129414,0.13253003847562067
Run 27,0.11113754346115949,0.06402646175518456,0.042386243473600045,0.03467551716189316,0.01876436811007246,0.4409834657228656,0.18344285635262866,0.10458354396259596
Run 28,0.13923859295357102,0.08435982132358182,0.04044433263335857,0.023482275322847464,0.03866938039838365,0.37203809348492617,0.17647309746749712,0.12529440641583425
Run 29,0.12243960013739323,0.09011334899464893,0.02819267753671729,0.02703507838713907,0.01163402960325313,0.4352584858988971,0.167635532401413,0.11769124704053836
Run 30,0.11600876678381583,0.08412276048510352,0.05329710584538485,0.03626102105914779,0.021794822221855865,0.4115220266606811,0.19241398948177038,0.0845795074622407
Run 31,0.11128351673502142,0.06679333921569523,0.04238921152231966,0.03410063596213436,0.027281098374215572,0.4021260025565719,0.22696362688940921,0.08906256874463261
Run 32,0.15013048702366505,0.0891751732501145,0.06291305434279587,0.020358123057888738,0.01239312968098521,0.4157124102551814,0.13296849088510443,0.11634913150426471
Run 33,0.12064830431564888,0.08267366094558787,0.06891730955597071,0.021889835048541244,0.01904136496805202,0.36327138452670377,0.21218840433259337,0.11136973630690225
Run 34,0.13068017889673283,0.09560137697320661,0.03109907287309003,0.024327763702923545,0.025571981298668837,0.36320451604379794,0.19210991875351274,0.13740519145806734
Run 35,0.10057404572160555,0.06675618579848717,0.03167742402446196,0.03560974359570873,0.019684171114436974,0.36994473724715765,0.20715855837880615,0.1685951341193359
