,sigma,tau,V_m (nm3),Eccentricity(Ear),Eccentricity(Eal)
Run 1,0.05633788375530766,0.17702110492877288,0.47686885496990117,0.19408788744258407,0.09568426890343426
Run 2,0.1001728002512,0.2272944577832682,0.44770301959242176,0.11577167734444511,0.10905804502866495
Run 3,0.09810875283753237,0.18030576338729928,0.3805540123769859,0.2032983263734133,0.13773314502476922
Run 4,0.1019737850468567,0.21029367550538391,0.3758674988890385,0.18435826689097232,0.12750677366774868
Run 5,0.05765069455775069,0.25695801000935586,0.4730063904421788,0.12420379833999567,0.08818110665071907
Run 6,0.11835250178904619,0.1718998129884609,0.43237088425599207,0.20738469960741235,0.06999210135908854
Run 7,0.11601024153229895,0.2158794764142001,0.41301846635810624,0.1647342886690743,0.09035752702632033
Run 8,0.12583437940657768,0.24823475936869252,0.39302781574889595,0.13752811057247938,0.09537493490335446
Run 9,0.08537747645722578,0.1864174771292403,0.462863898018766,0.13414103548073347,0.13120011291403452
Run 10,0.11664955586382661,0.19158178757490177,0.4634529282468506,0.10418596831089996,0.12412976000352113
Run 11,0.09670767246740461,0.23076014709355663,0.4110399772675424,0.12799553741099665,0.13349666576049965
Run 12,0.08209362577551134,0.2099199981991564,0.3970634127104886,0.146632217241131,0.16429074607371258
Run 13,0.08532467906948135,0.21059218775426336,0.4676844472513596,0.11292098590839322,0.12347770001650234
Run 14,0.10949921416837424,0.1682657983841961,0.4726247822386678,0.15054276357251375,0.09906744163624813
Run 15,0.10085220527937844,0.1583407574005201,0.4360233717892784,0.1695106988824486,0.13527296664837438
Run 16,0.11106918206520026,0.2276842829936777,0.38659547554744195,0.1413994134232705,0.13325164597040956
Run 17,0.08516587443206891,0.20235693633471544,0.5035762832582232,0.13765000669375696,0.07125089928123551
Run 18,0.10177895740318937,0.21943680545209857,0.3837756302250189,0.18096182467137584,0.11404678224831732
Run 19,0.1093583941372507,0.15831228839137,0.40429505254808473,0.18167702297790855,0.1463572419453859
Run 20,0.1075228603995488,0.14690753481784696,0.44759445149282445,0.18755281566402054,0.1104223376257592
Run 21,0.10555165827992524,0.20480343800874296,0.44395260171025935,0.1626585695138215,0.08303373248725088
Run 22,0.08974717505441715,0.1859554473247809,0.5098822812329544,0.13269270800383662,0.08172238838401089
Run 23,0.096181476964143,0.1958891125294076,0.42625287026342057,0.1434885703359199,0.1381879699071089
Run 24,0.10398399583536509,0.1692971698961983,0.411391951803586,0.1238327032793603,0.1914941791854903
Run 25,0.09458973476584434,0.1930603796803095,0.417833365947846,0.17774414875618838,0.11677237084981185
Run 26,0.06865748398403612,0.2378045670282609,0.4555934981291708,0.10976470223762018,0.12817974862091217
Run 27,0.09134052272979133,0.21139355476845118,0.48280971321871025,0.1251874597728561,0.08926874951019115
Run 28,0.09553678970682024,0.19166236623619143,0.4158714591951708,0.1756355382943594,0.12129384656745815
Run 29,0.06653744301303946,0.2262797734300862,0.4108287822622036,0.1602399647604302,0.1361140365342406
Run 30,0.08354963717510464,0.20010572725454476,0.48629394138579357,0.14112733330567578,0.08892336087888125
Run 31,0.08355224007032219,0.22869146382059058,0.4801962901762163,0.12190540464929403,0.08565460128357678
Run 32,0.07323755314376139,0.20886097932483005,0.4704401800730246,0.16134745481543702,0.08611383264294693
Run 33,0.11048098816922984,0.1788311721092263,0.44385101538834415,0.13668573730739797,0.13015108702580178
Run 34,0.12141601931895035,0.19453887645819792,0.42428408603506346,0.1154386089577686,0.14432240923001974
Run 35,0.11121284749222482,0.19886902967989425,0.42028002331215386,0.1775248474852555,0.09211325203047158
Run 36,0.07545621524835551,0.19204395571308297,0.4094073067047341,0.1410742596360272,0.1820182626978003
Run 37,0.08430370617882899,0.2192735535404593,0.4206052508821847,0.13946590653081803,0.13635158286770896
Run 38,0.09670931562019375,0.2114171859823648,0.43076281571506486,0.13157698353690664,0.12953369914546983
Run 39,0.14119249243862245,0.20415197587902095,0.38405703312428185,0.1343004411562726,0.1362980574018023
Run 40,0.08791973988789599,0.15801902766947623,0.4181479796979885,0.204161932349732,0.13175132039490725
Run 41,0.09011529526974436,0.22245958713318795,0.46628058035754133,0.15967035074717442,0.06147418649235196
Run 42,0.06099645557638162,0.21056674321994212,0.4101042883730555,0.16251457853884635,0.15581793429177437
Run 43,0.08744696498925057,0.21353917064881936,0.3945024576120956,0.19134600599599827,0.11316540075383609
Run 44,0.08495185899586621,0.19385374307800193,0.4107882792094404,0.1968931792294753,0.11351293948721611
Run 45,0.11628237061527505,0.15225187810488505,0.43821758965793767,0.1626675279601701,0.130580633661732
Run 46,0.09105577169673981,0.19661946022840124,0.40080644602232157,0.17827641145932688,0.13324191059321053
Run 47,0.07985516269470268,0.213605132781333,0.4128236478566719,0.1720568185604,0.12165923810689239
Run 48,0.0530765576631068,0.23105748820441302,0.40781978970406746,0.1515156471400592,0.15653051728835354
