,sigma,SP3 (LIN),SP3 (BR),SP2,Ring,V_m (nm3),Eccentricity(Ear),Eccentricity(Eal)
Run 1,0.08168066404312527,0.08403422171639555,0.014793095422688678,0.16092352889367592,0.02580945988439848,0.39138044374097,0.17718458609064902,0.0641940002080971
Run 2,0.07945885363432695,0.06647990265668949,0.014694744811554606,0.21219053723007517,0.03542879752960557,0.3924622597824514,0.12640063713424277,0.07288426722105402
Run 3,0.10358163120411958,0.08405982531896836,0.017920099947596416,0.15669862607914964,0.04903194453318559,0.3474041885930918,0.16048248246267655,0.080821201861212
Run 4,0.06643580551699922,0.06422881004503021,0.020785519011986855,0.2256097896932217,0.022149441840236223,0.3760440513270475,0.15163425843744285,0.07311232412803545
Run 5,0.08709986226697514,0.07345776708798926,0.016052536934170067,0.2148365613716134,0.031635606679523226,0.34920158373545795,0.1448802191695758,0.08283586275469514
Run 6,0.08433593947778434,0.05287935691391874,0.011696438005444785,0.26435945872723454,0.024055247940418745,0.32460933787498064,0.1675085872567041,0.07055563380351411
Run 7,0.07580774561706496,0.09989315917882378,0.025010573584065336,0.15358609518539806,0.05328979629670073,0.3859096804179669,0.12485638849757175,0.08164656122240847
Run 8,0.09586605383196774,0.06882226999129688,0.015458211207356892,0.17187030644957016,0.021454578749302292,0.40640076025617683,0.12584879818227973,0.09427902133204945
Run 9,0.07746495796388958,0.09910748744086208,0.018031166242483482,0.15107739958548633,0.04429244700560915,0.3304072633073732,0.15745055849639653,0.12216871995789973
Run 10,0.09503821564337021,0.09113809797196368,0.014371086473269202,0.17621550540104006,0.023233619211586412,0.41792309548861434,0.0927442837049399,0.08933609610521617
Run 11,0.07746769419312877,0.10917610609164374,0.010241440010482212,0.15371331954448797,0.051301878952320266,0.3832835682568805,0.09953260304607944,0.11528338990497711
Run 12,0.1069851966970728,0.08391382822882434,0.016976015142944625,0.16214421269405738,0.027248068535145654,0.35834603150282646,0.15562219536983377,0.08876445182929507
Run 13,0.06903566218039155,0.0649636128255049,0.022213466372973743,0.17870422515813464,0.035096511654348087,0.3623368972490368,0.18865316338936475,0.07899646117024547
Run 14,0.0850747220934607,0.07503611650640288,0.0215105099134486,0.16145979586729578,0.03258256063307452,0.3980862970289135,0.13158276102242378,0.09466723693498026
Run 15,0.09793137398124062,0.08728842958486212,0.014547043365860147,0.15969856083818296,0.04418549212466852,0.3499104633919885,0.16823006151147382,0.07820857520172331
Run 16,0.10403848051328538,0.07732962905071698,0.014668975274667796,0.1602411515675965,0.021098530579072947,0.4057710223679717,0.1441773597674083,0.07267485087928031
Run 17,0.0613090184128292,0.06706510517264666,0.02804154280879911,0.18683585010416054,0.018016124707435202,0.39761963336226414,0.1217180917918672,0.11939463363999801
Run 18,0.0854421406575281,0.07596806481829953,0.025367254741010932,0.13950412161448805,0.027113909073473063,0.3716764908635228,0.1698134539508698,0.1051145642808078
Run 19,0.10507501034629792,0.07053235402297416,0.013340446966804252,0.1598392977178306,0.036206746772655396,0.35584847406420267,0.13224995811575935,0.12690771199347572
Run 20,0.08979879824105357,0.07457559220798651,0.022791807428722125,0.1809300829603864,0.017590378303241914,0.4009734519396489,0.1446562350738827,0.06868365384507794
Run 21,0.10332731891670961,0.05535440612535157,0.01205751277703517,0.15254867289084315,0.0319821095316472,0.4097407086958651,0.1504310916802954,0.08455817938225291
Run 22,0.10627736799047953,0.06928146063174755,0.023696169662982845,0.14189972571886736,0.025680480695962363,0.3730791297070608,0.1913055861462372,0.06878007944666235
Run 23,0.0500174205996549,0.06320198690994835,0.018873647930057337,0.22150582546834094,0.027808235823430377,0.36599593104028577,0.1357657736326065,0.11683117859567585
Run 24,0.0834879764454909,0.06475003899867746,0.02195039922527188,0.15976872398554606,0.02842062265665846,0.37191460487725136,0.17001244801782103,0.09969518579328279
Run 25,0.09594947199093282,0.061518010406241774,0.014045255194316344,0.15159997196467934,0.039511683201425285,0.4030819889810904,0.13166948947899046,0.1026241287823236
Run 26,0.07258541411193567,0.12649140660852004,0.014635247266185664,0.15097179381410306,0.035702461082166986,0.40279263552837846,0.11063344806157863,0.08618759352713155
