,sigma,tau,V_m (nm3),Eccentricity(Ear),Eccentricity(Eal)
Run 1,17.521985515055288,-10.172474080248916,11.887188330086321,24.703998565708247,14.174249455052667
Run 2,15.658976948354574,-10.039575942910192,7.7235735042443,22.324553080218813,14.832513415954377
Run 3,18.286453641630587,-7.92672046575873,8.502161459829175,17.742652974009513,14.36677792128691
Run 4,11.124414773083055,-14.555402941175924,12.103125566635315,19.37543086538007,15.433654860773823
Run 5,13.475267869087958,-17.663450244610928,20.688522848888503,22.47916437048107,14.533135608127274
Run 6,19.742597268805252,-11.72432643364248,16.42331972703531,18.390827243828053,8.458435905966462
Run 7,19.11938301768411,-11.90703173374917,8.484192253969793,19.831939685712754,14.082145823192757
Run 8,13.10097775794517,-13.110596264776756,9.981764644859082,21.425470547163265,17.70228852303701
Run 9,13.924560887177138,-17.2085766617274,13.071959250463538,20.77277055958185,13.290052774944773
Run 10,13.884946555962756,-13.517437811206365,18.466899365242085,13.452284675848803,10.869260812330007
Run 11,17.19610997267395,-12.834917102536757,8.439831027825797,21.810091930511515,17.633248961625252
Run 12,13.085324815528201,-12.168153436860303,11.919302177528557,21.859518404041083,20.08998805869329
Run 13,14.153689827034157,-9.245992052493465,0.2802959085585054,24.088224244500935,20.649448594974675
Run 14,8.964359550821833,-14.429331900935582,14.930519721062733,19.53130190386276,15.16662992198659
Run 15,12.569252455400111,-9.711960557730448,8.84457227999804,17.686751462792557,12.319859689596568
Run 16,7.031011620205536,-12.199028689837856,12.9735209602641,19.394481347815013,16.127013794123787
Run 17,12.9532298380626,-8.900703255547498,4.7411452237727225,23.56350778540652,19.07598679179703
Run 18,11.519320721659781,-12.2585491821072,12.945420165592349,20.05158843679372,12.64426673676898
Run 19,18.057197141349622,-9.207753075984623,8.944926275802876,15.871897047137375,16.291931388735705
Run 20,15.100261811385243,-4.173381388201478,-3.1205419062034556,22.88611477248897,15.824356898853853
Run 21,9.928614064627586,-12.388477379123824,8.144896057059041,22.55825104253484,18.34582752334671
Run 22,15.027704432084025,-12.374250220900315,9.769200582688281,21.241278997715867,19.232658383232735
Run 23,15.186276262530248,-6.07227707389162,-0.3986557579932801,24.96015672156824,21.1903965631676
Run 24,12.102631564093006,-6.9519247160359,9.163035519840626,15.404911095996686,21.070978004725696
Run 25,15.542222132911059,-13.680967957955371,18.23166510100133,17.575733313178937,11.868365122341965
Run 26,15.926539090916568,-9.635509886309066,12.309718581237853,16.143919454340768,15.024164887363053
Run 27,17.677464767513484,-18.323797797290418,19.386452408872245,19.821757176440457,17.93214108333523
Run 28,19.962288256509865,-19.585406064129756,20.93613265183542,14.432273999528,13.62275738067391
Run 29,14.943239321401697,-9.18072033492821,6.587147121475384,19.038173492688298,14.076774124589841
Run 30,10.563217705802774,-7.045451777758235,15.11401800446912,20.757188932656003,11.78736438202918
Run 31,15.722233214751077,-20.800193673730487,18.05703559126817,20.30709800781046,12.28298245711547
Run 32,8.910882766535801,-6.2033227703497635,1.2105219910890537,22.161882029893558,17.171694060186827
Run 33,8.934288455575619,-4.430277011561503,1.6108030014414754,23.55494062706139,23.79514753669912
Run 34,10.728316110355339,-6.822244783439349,6.377495629054344,21.208003238348116,20.262082426877605
Run 35,22.503554203318192,-9.479163054928375,7.5471923750579615,18.845051566542764,15.629380767232577
Run 36,18.71835788340159,-17.238554232201516,22.9043175533529,16.426080296716556,16.05481925863285
Run 37,14.51159650466293,-9.837660420507955,12.761663448728385,18.458699326148807,15.281945689956098
Run 38,8.466783523019467,-17.92627377541702,16.200166273328843,18.892583872102122,16.532564274795043
Run 39,10.351440711097519,-13.328971268947704,12.75812033115726,18.699885337749127,13.158835279282496
Run 40,11.080404638296647,-10.19014952458042,2.1579501701218997,21.836048142904342,23.174996136608456
Run 41,12.801203660192257,-0.6651683000459954,-2.9451038404689536,27.968152693973387,20.620605936979835
Run 42,21.540833830029026,-15.648170904694515,16.060805964598543,15.500970336812934,14.080487664867562
Run 43,16.205542695352424,-12.902262201974759,11.551421612117304,23.467378807556077,15.854309042521024
Run 44,14.720327111417339,-12.929734012758697,11.128737309597776,16.160654277257056,15.287816956585294
Run 45,12.45156478441535,-13.553720473029834,20.904847924410994,18.02892320799755,12.918837914198322
Run 46,17.95057561531991,-15.804657418223064,18.274197291183217,18.33354065432634,10.89038337113481
Run 47,19.22474081883176,-10.57742116356362,14.595588606509217,18.779524751582365,16.583500246510326
Run 48,15.346502981560613,-8.27400748727809,9.161989513065187,19.40565857360359,16.143477019945607
Run 49,13.25215001762829,-14.477625046384274,7.184092539796916,22.257009637449798,15.205487239427137
Run 50,14.951792868165715,-15.855407503204164,9.888817538697548,22.396496956061,7.528837428044413
Run 51,20.990218024137818,-12.690101889843952,8.958352428012581,23.313576860699403,22.42981822436443
Run 52,13.657376312981999,-9.428686879237215,12.542426014688811,17.813809810919413,15.730893807146053
Run 53,14.713873042807109,-7.345405301629691,9.344392540632153,19.75592416823769,13.544110384925208
Run 54,14.112856236202138,3.9468701254791814,-12.951637186022419,29.745679437420304,21.078821749174256
Run 55,14.808730425469768,-11.503363367442907,14.9532617859411,21.735391759537915,13.339618600788675
Run 56,20.387744140151305,-19.89348017600727,23.568455596990507,16.09633249824224,9.808201740956964
Run 57,16.382931613378368,-15.45520315965206,18.80565262072073,20.642704700640223,15.38942524477879
Run 58,18.884398686957645,-14.75022902337939,10.325241630422743,22.617494410280386,18.31143045958589
Run 59,18.80034850186775,-18.888813087437377,19.93439317283286,19.128146933822496,14.116888457727011
Run 60,4.70220392050048,-8.107457708739675,10.197603899485134,14.841885328515128,18.590227602273096
Run 61,20.00318316281855,-13.119259020293228,10.176744811467035,18.396971646751673,16.477903234586414
Run 62,11.888831251561891,-9.747464009730999,12.808598010516294,19.013139222332107,15.817550685394185
Run 63,13.868059865393663,-11.062548324366363,8.319914225767194,21.424902821724118,20.69485412201694
Run 64,17.838858996689787,-11.612665348013556,11.342887758792626,16.591972276087493,19.310813633230858
Run 65,13.048948644473583,-8.976315220407496,11.182216868752192,18.655091361559148,16.072625776600642
Run 66,15.817065081172808,-15.517805448539514,16.24735997108939,21.538195805450126,16.90718440018689
Run 67,14.664578956990422,-12.112389874180863,18.47864611843921,15.425373757685934,16.54338874973655
Run 68,19.900949011400307,-12.570806154172507,12.432504113749886,21.21048413008688,14.746839182560747
Run 69,9.953868546312439,-12.988284124384297,15.993186044328166,15.437531161202923,9.641359592861198
Run 70,20.47049953594458,-9.602631461611741,10.2060192882768,16.03586576129008,16.116192918277665
Run 71,17.3591508515761,-15.785265576449223,23.042285561603425,13.250673232682663,14.11223029093355
Run 72,17.86948054399,-15.129272738687765,14.206807687968423,20.886846973233535,14.170664504551457
Run 73,20.127571362299417,-16.64556791443376,17.56753436775209,15.758926833349536,14.387099624512768
Run 74,14.531239026249889,-10.393007675557872,9.972341907813503,24.800778232750204,18.301679880459325
Run 75,9.319687755231099,-13.083865805020732,15.32261818286694,18.861804510704985,16.085772322380457
Run 76,15.12251688752109,-6.0532521309824725,-2.263898846681729,27.11053217516766,19.761406490570486
Run 77,18.129764418051042,-9.370784223152793,10.575610302068638,22.92098891696155,15.215563573515517
Run 78,17.19790454443786,-13.274692265492057,14.253370491628825,20.29848419808171,10.555473070291983
Run 79,15.862628603975091,-6.905661182019803,-2.909365271414206,19.68894720152806,20.445735207930117
Run 80,19.96227635127786,-13.758873316859114,10.313661528092497,20.525065988807192,13.720690603323865
Run 81,7.502566470971398,-10.932705801649599,9.806677195549957,20.817714181025487,17.207507338151824
Run 82,9.780260517325969,-11.5823822693021,14.051335170361865,19.668740606709843,12.732730743149322
Run 83,15.269078238268158,-18.460954093747358,16.02143726853886,26.490133136379743,16.880247245184524
Run 84,19.23856367101145,-9.601393726054814,14.58932246103981,22.13900164629763,17.005003323461633
Run 85,20.24196285328465,-12.21374023027009,17.45951699369787,14.794301043275846,13.712111022336599
Run 86,14.961400514540268,-10.522235390524964,7.172110057277524,18.90125356427001,21.593504075814515
Run 87,13.84539115448849,-9.251384389152301,9.084127452422313,22.39242112443874,16.177208506133333
Run 88,11.093411057248737,-11.992306298594617,10.657091814283925,21.558984922074572,17.531112681783274
Run 89,16.303709053739993,-14.592843257241167,18.123017597588092,16.876216527782628,13.666305712707358
Run 90,15.526315457053352,-19.33066437463023,26.158869428552975,9.120225389674655,13.139023800221349
Run 91,16.622760108941325,-12.304718047433152,10.486207030101301,21.562291935759227,12.490017526918956
Run 92,7.211382557137267,-7.32147028589106,-0.913373943635555,25.79230456562656,23.352614367056677
Run 93,14.48518729039316,-16.613137683669045,17.168268455209496,18.56569146906627,11.340802705726682
Run 94,14.530807885983416,-16.959994238079133,16.215051234591158,23.247276059249906,14.46652861458268
Run 95,6.333366833935706,-10.127607567174408,5.706044378898297,25.18222542587101,14.119694760529542
Run 96,14.914107432481334,-11.415990204095285,7.349987385635116,22.06082307169939,15.255589011992434
Run 97,15.239412441172329,-10.933488072927327,8.361535997050197,20.177199691726983,15.804020697540476
Run 98,15.938753103030296,-10.434585770314097,13.081525078539077,16.403043423636078,12.00740722817081
Run 99,10.01175579801268,-5.379789663515328,7.310157875751517,26.069885968399287,18.379850541674863
Run 100,14.968460062314616,-11.240374624494681,11.180040150439677,19.590433507645212,18.059469503173435
Mean,14.761,-11.782,11.369,20.068,15.825
95% CI,"(14.018, 15.504)","(-12.6, -10.964)","(10.077, 12.661)","(19.387, 20.749)","(15.173, 16.477)"
