,sigma,SP3 (LIN),SP3 (BR),SP2,Ring,V_m (nm3),Eccentricity(Ear),Eccentricity(Eal)
Run 1,9.91247690981602,-11.07872120678218,5.222943858824456,1.8113704223412,-16.791838082202226,13.20221775076551,26.003387063829784,15.830367165454065
Run 2,16.420609050027274,-12.525358184541734,-0.18445391641092418,-4.436404965404777,-14.803243602250356,12.84792636675904,28.242250141649762,16.231500902142056
Run 3,14.121678545730276,-11.845009941643148,2.726759241046679,5.876984820511949,-25.578880094454906,10.377540476897103,35.15832073255321,20.738562639304575
Run 4,13.90011898674461,-3.5068356146006354,-0.06254955386744428,10.570497576160417,-27.551778865052224,-5.278356617425933,42.3956486046097,28.938995605552186
Run 5,12.812537793105944,-13.305715555673551,3.6371210752905845,2.1425973337564947,-21.360120204002374,9.846677201713142,35.39955159666878,18.495540152039517
Run 6,17.817090262592576,-11.389498204916253,6.943519287249252,6.435727201842865,-21.85486344283824,7.973351792453328,35.01708249418402,20.969592517247342
Run 7,19.952689409068512,-7.951718846300395,4.647771863993068,8.17158707561497,-24.33033749835683,3.2992102069021643,33.31052306023993,22.351738267018785
Run 8,17.864639418616758,-11.284624483419424,1.8377171100531213,4.91143303391046,-18.127993911588078,11.28387915487024,28.075921161621945,18.795596925023077
Run 9,21.0842343699788,-11.524671206935773,-0.42227182922659234,3.799455071595804,-23.117801858589942,21.511801794160377,28.590283320321404,15.314143865285093
Run 10,11.554251157403973,-13.132569674446545,4.347264182580894,3.306605704507711,-18.059630818823013,14.033329862917768,34.75600707394885,17.08576822886164
Run 11,16.051429316359048,-12.065848630071123,4.797908320586022,7.415724768284236,-24.010951491461253,13.846789074249521,35.86076607130821,21.97647844641237
Run 12,17.207046907044447,-0.36877693478636087,2.5314033563957734,2.72437359677524,-15.888509297426104,-0.8947109193720924,35.24997366663083,19.68674816876921
Run 13,14.79275893536249,-16.411205048310208,-0.8010828879879489,-6.490941072085697,-12.8811297173019,18.67387778186485,26.000820107555032,14.319715170194227
Run 14,12.201751923662554,-10.265769354021264,1.052513106590958,3.8224279935644008,-17.359164113354506,9.92461240221144,28.781254682335184,19.35387231907043
Run 15,14.157130364510556,-12.994774246885266,3.4204858050853644,1.3404135978413039,-18.846733782036868,12.256813387415459,31.43812916172022,16.070009087261663
Run 16,14.852438373768754,-6.435741950795236,2.3289283972928274,3.7235738472033697,-17.046488317922947,11.951581797838221,29.330839675465775,15.728094914180126
Run 17,19.713156800299096,-8.788577653724765,1.0967541940798873,1.7032921183153318,-16.594491935872266,15.050557232291666,29.289845115547124,18.979470466641434
Run 18,22.543510891730715,-8.562116443377137,0.9634643577929801,2.72967200235864,-21.106101898184928,13.10589414931238,31.16877882810071,20.70578084281181
