,sigma,tau,V_m (nm3),Eccentricity(Ear),Eccentricity(Eal)
Run 1,11.94508514517379,-24.897989726909472,21.619778491086677,5.470922031892241,0.05910586915424098
Run 2,10.523370216779954,-25.37056785909513,22.51416579027863,5.791962966255214,1.3212536582018441
Run 3,15.714386917085177,-23.30963256111108,13.599872735703602,5.810725428845141,4.860037809127891
Run 4,19.62524377190447,-28.74403305169515,27.30368085988706,7.480459265774719,-0.3266783009832011
Run 5,17.657799625872354,-17.730227560682557,16.274179132247706,5.841393792778594,7.289197230841233
Run 6,12.17913040594575,-23.31166049149051,19.913149789026583,12.867716445716873,5.11730865278792
Run 7,14.820376242258577,-17.19277325276258,14.95715993191365,2.7574308355509234,2.1158538279667995
Run 8,17.70143645806553,-21.07185672917192,19.52355809358512,4.887544558832091,1.218426948380438
Run 9,17.22585302670612,-22.31529488499962,20.0485009374028,3.417556670646536,-0.6523720298375247
Run 10,12.900134469041136,-18.09781965791425,24.25336065702791,7.900306843375296,0.5053886166078534
Run 11,16.584820577496878,-19.274223900507085,18.182606985852214,5.64495143279454,5.705594338359217
Run 12,18.135692181627714,-28.520025123366736,23.05198561329225,11.414468756614326,0.11985634892152075
Run 13,17.19611784595343,-23.938183973817154,16.931858149368807,10.31579060461178,2.20891069443682
Run 14,11.875400364914526,-23.180214235716708,26.985659501871858,0.49072521795525903,-6.887295410015093
Run 15,17.565826899000687,-24.20788724002434,22.82097499277653,5.671574936706617,2.0662225805690264
Run 16,12.128510279017798,-27.035317680799913,22.32576667963989,7.362420350965595,0.09597131612795488
Run 17,14.431789940566599,-25.510005312625772,22.595969338805155,4.85994837772,1.285949171371579
Run 18,12.344760531275552,-25.68367677127134,18.21221336350186,5.496193934939854,0.2936207906028538
Run 19,13.477330238037988,-17.290758609293956,14.442333600854077,5.668879159492146,2.9158109708609374
Run 20,10.355354472982723,-23.25180130148778,20.2204368547767,4.960081402903784,-2.1421530793317625
Run 21,14.623891148507424,-23.230381882603098,19.862354073849385,7.311880578610966,-0.6717681708010582
Run 22,13.39288316839734,-19.706174399830683,17.111754376284864,3.755581813121554,3.9925439000740455
Run 23,20.314553557252772,-23.673494515171264,26.764637075344076,8.598681129671599,-1.2086018032555028
Run 24,15.374361283510565,-21.2521031743497,20.706844982125816,7.664091807513222,0.4718603436132802
