,sigma,SP3 (LIN),SP3 (BR),SP2,Ring,V_m (nm3),Eccentricity(Ear),Eccentricity(Eal)
Run 1,8.782235165018093,-16.104126683354895,-8.057785881308343,-16.64716051473588,-10.738662115342612,30.130212728875208,2.3789275343306895,-9.651309061948648
Run 2,18.27565062814429,-11.360142028813254,-4.663678655999494,-12.111626745328122,-11.497901149096151,27.055286039847644,9.797910925310132,-3.701043266683437
Run 3,8.85054945637269,-12.103479169778403,-7.381553068562044,-20.727552213172064,-9.874324841447953,30.45474399635408,5.003688761617238,-13.007587650098413
Run 4,13.018013699771865,-8.41040644786957,-5.989693932610512,-20.423513530849153,-11.493726418960938,31.723266359917666,5.632104555025886,-9.861581761774405
Run 5,9.170415916553875,-18.323968086654336,-6.3402826189396295,-21.924837511883013,-8.293104939359102,34.53701272462981,0.9449539705516238,-12.206743455593868
Run 6,14.979924682306187,-12.113306789398013,-4.706933221471118,-14.318397993438877,-10.977879562624357,32.4976593140292,4.694035546751073,-10.487199193682413
Run 7,16.212714798161937,-17.949259612926916,-3.9896148658188753,-11.721662082147386,-9.024301159450193,31.704729133621903,3.5222238232055387,-5.409327754789598
Run 8,13.15589487077995,-13.565896228392901,-9.769644830255185,-19.018476995529358,-13.60917562046366,30.68684547423191,7.032485198745912,-9.253887286052922
Run 9,15.144125490607442,-11.099498224694026,-5.346114680324907,-14.287484528593529,-9.213739623006084,16.135069946839586,10.706624661977214,4.596075909618097
Run 10,15.4466895739035,-13.505994085056187,-4.7744937378754635,-11.502340748883006,-18.713614252745725,24.784633357700077,16.321624063369377,2.2004078379257863
Run 11,11.63975947259228,-7.7184491868012275,-2.0307902831904108,-22.567741015018598,-7.4655168946574415,20.79400530423669,8.744777890447034,-3.540599399144329
Run 12,14.032794949624648,-13.514484516280278,-5.225441884105749,-13.211763297377965,-10.08113353424725,27.36322621037207,5.032322560426112,-0.7879253919166893
Run 13,10.652706354687005,-16.145930731514483,-6.563269531694078,-14.968209920488228,-12.478213060774301,24.951221749223613,8.743590462244832,-4.470735328141012
Run 14,3.681781944745376,-10.255005934149944,-9.758827859696467,-19.930912946768284,-9.346890489924817,25.030483720368107,4.305113373560233,-5.556492275175597
Run 15,18.996389189974536,-14.452123644420215,-1.9649018574363506,-5.545045172658622,-15.32394580046735,19.76278574128303,17.511224819675668,10.06354978416035
Run 16,12.890204808255277,-10.881587847596677,-7.6712582541049,-17.39973504396346,-11.823701437795973,24.384742247586622,8.24099814333879,-3.0291877006320016
Run 17,13.110322213150798,-13.178662172691952,-5.158936423957361,-11.1735977382877,-10.91684424258575,25.826330670690705,6.744922986662539,-7.246268639310263
Run 18,12.022830658579824,-13.493583476067082,-6.401926278641147,-20.087615651721734,-8.68976099305482,25.16493897124955,8.311230347134035,-7.181019804321414
Run 19,11.422553818422752,-13.320268514252538,-7.015944918205545,-21.205874172353166,-12.289348769746839,28.178689068164477,8.605232296215975,-7.937550922268788
Run 20,12.0526177792074,-13.176650603508813,-6.917498948264071,-16.201505476993663,-8.05391320667909,29.154803385297157,8.206983788435739,-8.875779145723003
Run 21,7.320752380995897,-12.2936576091774,-10.227185836465207,-18.91719514092138,-11.715985156307967,32.76497034942174,0.022931245092531555,-13.087960534073764
Run 22,14.979393246970885,-8.712181855783243,-5.114287012581242,-16.31101933921961,-13.657369141383898,23.042365397042285,8.826824382089745,-4.666378826225909
Run 23,16.29666172704546,-15.149114910037076,-3.6398373150081307,-8.961925923988922,-12.79048626985044,28.276014661797667,7.082487907132933,-0.48331973492275637
Run 24,14.05319428448184,-11.091617076404942,-4.63015873238733,-18.40477367282648,-9.462763370680067,22.279545984626818,5.998309216167914,-5.286166131388891
Run 25,11.253263270172615,-15.062416023349721,-7.247512279616762,-21.948959294420224,-8.951055772827639,30.30087837797918,6.899800334539559,-12.803250393753153
Run 26,12.430203647657702,-11.246627980008022,-9.184731920787447,-21.66824630075092,-12.063662937837039,36.50134165185323,3.755720762174822,-15.500717613697285
Run 27,18.181633388160023,-9.46256842671831,-2.4991709137557705,-12.719049288436018,-10.513980720907306,21.952845522532236,10.078862574847452,2.2260435466820394
Run 28,7.395314268761622,-11.586617293561764,-8.282673410637024,-22.055665385555685,-10.129307387690774,28.56379444791271,5.7168117608401126,-10.636802922291942
Run 29,8.069237573472572,-16.31733043046165,-9.849119743653707,-18.543338001573435,-7.934235123619481,30.799494180813063,-0.6346252431139926,-12.901441562183923
Run 30,14.946887042869374,-11.775904414431958,-5.85959188122371,-20.38996510572944,-15.238058647038516,28.69445214567998,12.126223811377328,-6.117365519608804
Run 31,10.898590895785844,-17.380201829610666,-8.503170108579697,-14.319694767107874,-9.893102190520164,25.106377478279068,4.54944246860043,-5.138075754210654
Run 32,10.590974982802903,-13.812273544839245,-8.55146801082069,-17.364673995612716,-7.379371006007763,23.780564050760677,9.969606209048814,-4.638222607001175
Run 33,15.227256255409712,-11.902880895489947,-4.300274301835399,-11.214900530016823,-11.60716354668013,26.562691440615847,7.403746654138151,-5.1215172483868585
Run 34,11.909945279464932,-12.058637220454063,-6.509998584277444,-17.50572749844961,-9.605088104944224,18.435803847668875,8.267412552696678,-2.3964691255030077
Run 35,14.488615819325327,-9.998415940786948,-3.6108689806696916,-21.72853354815389,-6.321740211462393,25.612527335045048,11.085181647606776,-2.3817294274484424
Run 36,10.941512776967487,-16.9754053755481,-7.9119018802264325,-20.52597711857417,-8.559952342079043,29.003796802442203,4.119926921607981,-11.407877497890818
Run 37,11.522815345826091,-7.684604325149894,-6.351495751937859,-17.15091733774941,-9.698599218082357,23.37761050609399,4.8784903212815385,-7.990901253203787
Run 38,9.582596128715984,-12.986866723937473,-7.005919552593652,-17.455993838728364,-9.740068992239346,19.821711976037896,7.396024811025716,-0.7243440284661813
Run 39,11.164145593768751,-16.312720635151344,-7.008618638231049,-18.957312869710844,-8.491608956948356,32.17898540874856,5.414175252387798,-9.367386247561244
Run 40,11.678772460855047,-9.938137042513919,-3.3431211926980877,-13.009927516291476,-8.752981744481358,25.21494631027837,6.147329437798476,-9.366986563969206
Run 41,12.095440892755285,-18.663537869125573,-8.74189603876681,-17.347008810155213,-5.354630794612203,27.578094316765412,2.5410671645278367,-8.78834399664428
Run 42,9.184225346163352,-15.03761155753584,-7.811486942960216,-17.327168239906243,-7.902162499660097,27.464285304022127,5.286399224753053,-5.866724638188549
Run 43,15.624013423437983,-9.493566833171858,-5.080094890776296,-17.776325486534088,-8.736613227619145,27.05258896863061,11.956540410285829,-8.142330884677657
Run 44,12.659717220079232,-11.420075728144287,-6.803394216269051,-20.653692102505467,-7.700599199598137,19.31832102924104,5.633969727411671,-6.4448752286055155
Run 45,8.198981015311851,-15.79258328428685,-7.824068866332059,-19.43124045954722,-10.55478007107228,31.93728110363538,5.498908026983876,-8.469449527950994
Run 46,12.17184633837782,-11.258208131711148,-1.9532288550652477,-9.870690937393048,-12.41654206306634,15.87409859053509,11.629363274609805,9.147612832951914
Run 47,10.49935007143039,-16.257538404113316,-8.36739392906317,-14.942734177809298,-7.494553222165978,24.942998725459717,6.618324279673162,-4.391278514256944
Run 48,15.235081978404047,-17.15851776087126,-7.586634896447836,-21.825656051000827,-8.902199829286577,31.444456515156457,12.528814449218668,-6.1567433816721335
Run 49,14.182396293202908,-12.170898726148662,-3.5436738893690607,-16.539715873039942,-11.887122261994294,29.261315568646545,6.386980379752087,-9.124473354344513
Run 50,10.603658204421295,-13.29099733991214,-8.68174839331684,-18.04045825453052,-10.743423085530107,28.87027683610434,-0.55658710120632,-11.611851758837357
Run 51,8.186193566617705,-11.055299886123395,-8.218254944756069,-16.186281070477097,-11.61625118212366,23.968657670882518,3.3169783454376742,-6.547796281371716
Run 52,10.059175754476184,-10.917921599824664,-5.157427001297353,-7.993896674453962,-16.904286231440796,19.487262407113178,14.891091204921672,5.003780562262403
Run 53,9.855448029030967,-11.748741508963862,-6.489094588922676,-18.406809757684517,-10.49317577016494,23.73022054849223,10.093567302072879,-5.233003573172312
Run 54,11.720303212939905,-7.7584344420157025,-6.813362842474285,-18.80058634229738,-8.508711242773645,17.90425480187006,10.925242756016699,-1.5647959518656136
Run 55,15.434043540407211,-15.832098498777919,-7.191348502710086,-16.960856661943765,-12.606520729673734,30.73741540108928,5.714132149779484,-4.150574464358012
Run 56,13.021012537020017,-14.986237894352664,-5.671031031113945,-10.249177267574307,-12.078499627034656,24.317621396990912,8.345335924719894,-1.739090109828312
Run 57,16.85454543802743,-12.458245186689098,-5.475418076637335,-16.85706631581387,-10.192350855407131,24.09066459000947,16.584583495450588,-0.3133905850830686
Run 58,14.335853665573438,-10.739126732965154,-5.1578489506345155,-16.343840176072714,-10.155352157212606,24.55123024357424,3.6125273501521247,-3.2706564141090597
Run 59,13.769823797645975,-11.874042157207807,-3.7678896468695138,-13.244759855127834,-9.41985444777922,22.24595524984361,6.860771833950282,-3.813426434631913
Run 60,17.4362563095447,-9.042191166575433,-4.291548773505649,-13.925696097951297,-9.034204635762716,20.871937463668704,9.790333147041496,1.7179357961250457
Run 61,8.276253716281413,-10.94879718282846,-7.199830889491163,-21.118146101750053,-10.607894573113734,25.016563637450087,7.586670784257282,-7.017637432592816
Run 62,13.94862344493687,-6.341890337391283,-5.30347319177962,-14.75852659154676,-10.607739708345193,22.05425123870061,5.388871876501993,-3.972005623529019
Run 63,13.084325228665737,-13.670872678668173,-7.794402109480782,-16.036200518760044,-8.139528927720908,28.70987975631769,-0.48894066442923323,-8.869559800309847
Run 64,5.6259785999066505,-15.60410649339219,-9.12194713985869,-23.210388450690736,-9.29078779612147,37.10277651291923,-0.9101445631760694,-22.67862619148096
Run 65,14.478827146769117,-15.991597653512654,-7.088383827797693,-15.69284423106434,-12.894911572181108,25.392587378544388,15.061618387831935,0.12855000350579282
Run 66,16.896140711949272,-8.931814483753913,-1.0220171091308932,-9.050519609445661,-9.531409781241477,14.551167689704593,10.55874950480458,3.178827632992469
Run 67,16.10831834727135,-12.49888713689367,-6.178218260556815,-20.82064567695204,-9.836749189436084,28.87078657970182,11.676294156738603,-5.044500887350698
Run 68,8.176932447601116,-13.849190472449388,-10.288843283808278,-22.643155954741907,-9.793699631388572,30.43204409366785,1.639466214874133,-13.951358340024461
Run 69,14.735905444626312,-14.756910252496512,-9.300542574977102,-14.52576316313224,-9.983613613766355,22.77288974014163,13.013009228404684,-1.0127320286580508
Run 70,13.614097845662338,-12.418945506038376,-4.736147051699136,-13.890955429023553,-8.270679217701092,19.615476868457588,12.055552818054437,3.176262089009409
Run 71,14.575661116938889,-10.672240035170484,-6.996445712256249,-24.090514853587262,-8.665908914511785,32.52714704625684,2.800269154715739,-10.296022660538354
Run 72,12.10430272875193,-11.10913588333023,-4.734100269595111,-17.24817123001659,-8.907265025239832,21.530467132788353,5.046460459559501,-4.44301656786995
Run 73,13.34630627040062,-12.674622064094201,-5.780990128210933,-15.08526617879327,-10.08954010573062,26.548715339313087,3.300364173953816,-8.238247573087948
Run 74,11.452317024365223,-12.614498963647195,-6.147436422573062,-16.481538615196385,-7.81874707066703,18.871211656461586,3.1119647225671474,-6.42078563596625
Run 75,16.542452790814213,-11.674357360845542,-3.8269361555417873,-18.60899683419121,-8.868752767439709,20.971842126954993,5.852075587718204,-3.128757614784731
Run 76,13.060842014323395,-12.936745283260073,-7.5943105700899505,-20.369693060416846,-11.906335872714134,29.856452694197134,7.38797614857008,-4.936249926597547
Run 77,16.702534365811758,-19.17846474417751,-4.877075074993352,-10.95541032802067,-12.384980851424146,29.066339997807763,13.636728560156348,-4.702439935971891
Run 78,13.587167898647154,-11.52398508207089,-5.528895759167145,-11.021531519735307,-12.79069392202203,20.059388853168286,5.461612882349939,1.9315542417177167
Run 79,16.954623617231324,-12.569755087672107,-3.9341872560908016,-17.061933363111823,-8.843822089745421,25.576640555441358,3.7074022376016718,-5.407270221717554
Run 80,15.787348785198844,-8.020717307002332,-5.171391567334048,-21.120999431800694,-9.582649055846202,30.292567561220423,8.024960251380824,-8.349248654138595
Run 81,11.850200740666189,-11.298505512831824,-6.300715854784452,-16.788186209229966,-11.66108600412724,21.21949353532802,9.723554873644664,-1.9308440067810295
Run 82,11.316132031395485,-14.835153026090756,-8.519493357202041,-21.239746526072647,-10.674387768179203,35.726720659235916,3.8970855594096445,-12.571480767906419
Run 83,16.235913976311814,-14.845991293494478,-4.356730308556933,-13.248222192763677,-8.300686083694668,22.26242387266239,10.268393797383006,0.2261378577307165
Run 84,15.286947748738873,-9.973598574205292,-4.085739929698071,-16.39872251751394,-14.459345094260517,20.158081503362585,14.702163287760001,-0.2924182854227885
Run 85,14.121368006533478,-17.738569748329276,-3.467801848443933,-8.52954164302338,-9.581552446680092,25.170542696877384,9.520145838109723,-0.836734855812616
Run 86,13.85629084445048,-19.419696502527863,-9.240256285538855,-16.258925644322943,-10.862491260827559,31.46245147239094,2.8306161411309985,-8.968971104311851
Run 87,14.751299989109151,-12.108421459782816,-5.451455343226652,-16.042502759446922,-13.698974034822175,23.429725269668076,14.735033512261971,0.6978570432761846
Run 88,16.073951884685034,-17.316351363461642,-4.8303949700706905,-7.592342541582291,-12.312507518229513,24.570825433232265,10.563743521865076,1.388613746234046
Run 89,17.29364091182744,-15.171526774074989,-7.4023909390088685,-15.381014694168986,-8.39572091455771,30.114969079629674,4.894538120793585,-4.0412602802921995
Run 90,13.544423340147153,-9.628122018069787,-3.333457714259905,-19.04288941328423,-10.097906030635572,21.154119516968944,10.476872660139357,-0.7279806361761789
Run 91,9.360082347463573,-13.90554254715696,-8.777657988468123,-20.150072095988815,-7.997856796304754,26.755043382772584,4.049361883756278,-11.520046903187534
Run 92,13.174078400668199,-11.498057939178148,-2.6307549928582237,-14.48599097235065,-10.067496388243672,19.10114670985105,9.072242170317855,2.167865754594352
Run 93,9.731011147685594,-14.921188389005673,-6.514689372755806,-16.57246989672224,-7.333667719363339,26.21182428278445,5.050664987507007,-5.268685098314654
Run 94,8.474593823173084,-16.418253911752654,-8.045958735314343,-18.31530164611856,-9.283357364312174,29.625482356421912,-0.13099184988076243,-11.184226284732501
Run 95,17.550450503975092,-13.544512761190632,-7.949741180489028,-21.051720562145643,-11.420699602687588,35.890787701105936,13.281632393753569,-6.800642459123831
Run 96,8.757760576481772,-15.130351495216798,-7.262974683483119,-17.396082166176527,-7.774434606376513,21.70544381642136,6.944319790679964,-4.18647808307525
Run 97,12.253490403273528,-11.87082872639394,-4.771763175995059,-10.84530538317679,-12.876933458024071,24.981517095170755,9.239175004292806,-1.5332933554422592
Run 98,12.395676887417395,-13.279199696578534,-7.893707079197502,-20.405014371568086,-12.40023873373141,31.982454827409054,6.424109742680088,-9.54203424334822
Run 99,13.10564534311711,-15.143667581687211,-6.7123631645977495,-20.862295465092192,-8.78186642077712,32.15951593617264,9.166002315694874,-9.762355765827913
Run 100,12.585908008697173,-18.380258903500504,-10.64483556356247,-16.913720842209646,-7.61080446062868,33.3251196711513,0.9761164453429881,-5.930327281536858
Mean,12.784,-13.038,-6.248,-16.682,-10.295,26.151,7.268,-5.236
95% CI,"(12.189, 13.378)","(-13.602, -12.473)","(-6.664, -5.832)","(-17.471, -15.893)","(-10.735, -9.856)","(25.176, 27.125)","(6.452, 8.085)","(-6.288, -4.183)"
