,g,h,a,b,c,d
Run 1,-14.036,447.001,-0.076,0.031,-0.049,-0.02
Run 2,-16.667,464.668,-0.085,0.031,-0.041,-0.013
Run 3,-18.866,467.296,-0.082,0.04,-0.052,-0.014
Run 4,-20.687,519.65,-0.073,0.038,-0.008,-0.002
Run 5,-18.715,491.015,-0.095,0.033,-0.024,-0.01
Run 6,-17.994,478.205,-0.081,0.032,-0.034,-0.012
Run 7,-14.477,436.832,-0.074,0.03,-0.064,-0.016
Run 8,-17.812,475.764,-0.075,0.034,-0.04,-0.013
Run 9,-9.413,407.658,-0.061,0.022,-0.07,-0.028
Run 10,-18.787,490.434,-0.078,0.038,-0.028,-0.011
Run 11,-17.254,463.619,-0.088,0.03,-0.044,-0.011
Run 12,-21.703,484.56,-0.091,0.037,-0.042,-0.016
Run 13,-16.058,454.01,-0.087,0.027,-0.046,-0.021
Run 14,-17.469,466.158,-0.085,0.032,-0.04,-0.015
Run 15,-22.309,509.345,-0.088,0.033,-0.02,-0.005
Run 16,-17.943,471.443,-0.081,0.033,-0.04,-0.014
Run 17,-17.486,473.877,-0.08,0.031,-0.038,-0.015
Run 18,-17.015,461.969,-0.078,0.036,-0.046,-0.023
Run 19,-13.916,446.695,-0.071,0.03,-0.05,-0.017
Run 20,-15.425,445.825,-0.074,0.033,-0.059,-0.024
Run 21,-18.191,461.992,-0.095,0.033,-0.051,-0.016
Run 22,-17.086,472.963,-0.088,0.033,-0.036,-0.012
Run 23,-14.802,446.876,-0.07,0.028,-0.05,-0.024
Run 24,-17.812,466.318,-0.081,0.033,-0.044,-0.014
Run 25,-13.809,439.632,-0.075,0.03,-0.058,-0.019
Run 26,-15.319,461.555,-0.068,0.032,-0.04,-0.018
Run 27,-23.746,512.898,-0.092,0.041,-0.026,-0.003
Run 28,-18.456,483.304,-0.092,0.03,-0.033,-0.009
Run 29,-15.341,452.759,-0.085,0.033,-0.049,-0.018
Run 30,-14.341,459.312,-0.066,0.034,-0.044,-0.022
Run 31,-16.13,461.334,-0.094,0.029,-0.04,-0.018
Run 32,-12.397,433.195,-0.067,0.029,-0.058,-0.022
Run 33,-17.401,468.417,-0.072,0.035,-0.04,-0.021
Run 34,-15.744,463.476,-0.092,0.029,-0.036,-0.023
Run 35,-15.229,462.306,-0.081,0.029,-0.036,-0.017
Run 36,-17.607,464.069,-0.076,0.038,-0.049,-0.015
Run 37,-14.14,439.321,-0.073,0.028,-0.056,-0.021
Run 38,-13.073,432.94,-0.071,0.027,-0.056,-0.024
Run 39,-19.89,484.531,-0.09,0.034,-0.032,-0.02
Run 40,-15.839,442.469,-0.083,0.029,-0.059,-0.017
Run 41,-16.102,451.121,-0.066,0.028,-0.05,-0.018
Run 42,-14.208,454.299,-0.089,0.03,-0.04,-0.013
Run 43,-11.214,430.143,-0.069,0.025,-0.055,-0.022
Run 44,-14.897,456.973,-0.078,0.029,-0.04,-0.016
Run 45,-20.85,484.03,-0.093,0.037,-0.036,-0.013
Run 46,-15.724,450.34,-0.075,0.032,-0.056,-0.015
Run 47,-14.436,452.58,-0.095,0.03,-0.046,-0.016
Run 48,-12.53,435.49,-0.077,0.027,-0.053,-0.02
Run 49,-18.071,482.809,-0.086,0.032,-0.028,-0.014
Run 50,-15.488,451.199,-0.061,0.028,-0.051,-0.015
Run 51,-18.9,474.293,-0.092,0.034,-0.038,-0.016
Run 52,-17.884,481.59,-0.074,0.036,-0.03,-0.015
Run 53,-12.931,436.874,-0.085,0.029,-0.052,-0.02
Run 54,-17.434,467.743,-0.069,0.033,-0.042,-0.014
Run 55,-17.589,458.217,-0.086,0.033,-0.052,-0.013
Run 56,-18.944,497.031,-0.072,0.034,-0.026,-0.005
Run 57,-17.654,466.182,-0.085,0.032,-0.05,-0.008
Run 58,-15.384,448.249,-0.075,0.029,-0.054,-0.01
Run 59,-17.267,472.254,-0.088,0.029,-0.035,-0.016
Run 60,-17.65,464.642,-0.074,0.034,-0.046,-0.012
Run 61,-19.04,474.444,-0.094,0.033,-0.043,0.002
Run 62,-18.879,469.465,-0.073,0.036,-0.049,-0.01
Run 63,-16.511,469.778,-0.084,0.035,-0.04,-0.016
Run 64,-17.87,466.475,-0.075,0.032,-0.047,-0.016
Run 65,-18.149,467.445,-0.09,0.032,-0.042,-0.018
Run 66,-13.054,433.927,-0.082,0.023,-0.053,-0.027
Run 67,-15.298,449.324,-0.101,0.03,-0.05,-0.019
Run 68,-13.2,439.867,-0.074,0.034,-0.057,-0.02
Run 69,-20.204,493.814,-0.08,0.043,-0.033,-0.009
Run 70,-17.799,478.284,-0.071,0.035,-0.038,-0.016
Run 71,-14.888,458.882,-0.079,0.033,-0.045,-0.011
Run 72,-17.155,467.546,-0.081,0.033,-0.042,-0.014
Run 73,-18.554,474.747,-0.084,0.03,-0.038,-0.011
Run 74,-11.396,432.561,-0.074,0.024,-0.047,-0.023
Run 75,-14.276,436.945,-0.068,0.03,-0.06,-0.021
Run 76,-18.384,472.501,-0.084,0.031,-0.042,-0.013
Run 77,-18.235,474.601,-0.075,0.03,-0.045,-0.004
Run 78,-17.303,473.652,-0.079,0.032,-0.036,-0.013
Run 79,-15.278,457.767,-0.089,0.031,-0.038,-0.016
Run 80,-14.136,451.519,-0.085,0.028,-0.042,-0.019
Run 81,-15.838,455.95,-0.077,0.03,-0.046,-0.015
Run 82,-17.334,455.167,-0.089,0.028,-0.05,-0.015
Run 83,-10.659,431.864,-0.055,0.029,-0.053,-0.023
Run 84,-17.2,474.583,-0.094,0.033,-0.032,-0.015
Run 85,-17.881,488.976,-0.091,0.032,-0.019,-0.01
Run 86,-13.458,433.926,-0.068,0.03,-0.061,-0.02
Run 87,-19.884,496.44,-0.079,0.037,-0.029,-0.003
Run 88,-20.118,485.983,-0.095,0.036,-0.034,-0.01
Run 89,-18.128,466.943,-0.083,0.035,-0.044,-0.017
Run 90,-16.023,454.917,-0.076,0.034,-0.053,-0.013
Run 91,-14.087,430.245,-0.098,0.028,-0.058,-0.021
Run 92,-14.962,447.815,-0.08,0.031,-0.055,-0.015
Run 93,-18.302,455.01,-0.089,0.031,-0.056,-0.016
Run 94,-15.273,457.847,-0.075,0.035,-0.045,-0.017
Run 95,-16.544,467.26,-0.071,0.028,-0.042,-0.011
Run 96,-14.764,447.409,-0.085,0.035,-0.056,-0.016
Run 97,-19.826,477.962,-0.076,0.034,-0.045,-0.009
Run 98,-13.679,457.929,-0.056,0.028,-0.04,-0.016
Run 99,-15.651,441.347,-0.083,0.03,-0.062,-0.017
Run 100,-12.337,437.603,-0.076,0.032,-0.055,-0.018
Mean,-16.471,461.905,-0.08,0.032,-0.044,-0.015
95% CI,"(-16.979, -15.963)","(457.993, 465.817)","(-0.082, -0.078)","(0.031, 0.032)","(-0.046, -0.042)","(-0.016, -0.014)"
