,g,h,a,b,c,d
Run 1,-14.867,412.128,-0.1,0.025,-0.062,-0.022
Run 2,-12.07,380.006,-0.126,0.02,-0.083,-0.026
Run 3,-9.788,377.918,-0.09,0.013,-0.075,-0.03
Run 4,-8.706,383.532,-0.09,0.017,-0.064,-0.031
Run 5,-9.631,376.042,-0.1,0.019,-0.076,-0.037
Run 6,-7.52,361.957,-0.096,0.017,-0.078,-0.038
Run 7,-7.107,356.666,-0.087,0.012,-0.09,-0.027
Run 8,-11.55,382.606,-0.086,0.018,-0.079,-0.028
Run 9,-12.877,384.512,-0.099,0.017,-0.081,-0.019
Run 10,-11.092,395.405,-0.087,0.017,-0.065,-0.028
Run 11,-11.497,373.552,-0.07,0.015,-0.085,-0.03
Run 12,-7.981,373.694,-0.075,0.015,-0.075,-0.032
Run 13,-11.85,394.116,-0.071,0.012,-0.067,-0.031
Run 14,-13.148,390.853,-0.087,0.019,-0.078,-0.019
Run 15,-8.814,378.519,-0.064,0.015,-0.075,-0.034
Run 16,-8.751,367.983,-0.082,0.014,-0.083,-0.032
Run 17,-8.834,364.792,-0.086,0.014,-0.086,-0.029
Run 18,-5.215,347.312,-0.076,0.01,-0.09,-0.025
Run 19,-12.827,388.365,-0.085,0.021,-0.085,-0.03
Run 20,-7.528,343.498,-0.089,0.01,-0.096,-0.031
Run 21,-8.436,376.18,-0.076,0.015,-0.074,-0.03
Run 22,-9.612,382.404,-0.112,0.018,-0.068,-0.024
Run 23,-10.155,378.73,-0.1,0.019,-0.08,-0.021
Run 24,-10.022,355.73,-0.093,0.019,-0.101,-0.023
Run 25,-12.036,393.777,-0.084,0.017,-0.068,-0.028
Run 26,-7.905,373.641,-0.09,0.019,-0.076,-0.035
Run 27,-9.073,368.669,-0.077,0.015,-0.082,-0.027
Run 28,-4.531,345.156,-0.09,0.013,-0.082,-0.04
Run 29,-11.908,392.965,-0.081,0.02,-0.073,-0.025
Run 30,-12.349,383.669,-0.092,0.02,-0.08,-0.025
