,g,h,a,b,c,d
Run 1,-1.538,181.392,-0.127,-0.022,-0.13,-0.098
Run 2,-1.425,180.344,-0.124,-0.019,-0.127,-0.111
Run 3,-1.437,179.569,-0.129,-0.02,-0.126,-0.105
Run 4,-1.47,182.54,-0.123,-0.021,-0.126,-0.097
Run 5,-1.46,182.454,-0.123,-0.02,-0.125,-0.099
Run 6,-1.351,179.583,-0.119,-0.021,-0.123,-0.099
Run 7,-1.582,183.311,-0.131,-0.02,-0.117,-0.097
Run 8,-1.323,177.716,-0.126,-0.022,-0.122,-0.103
Run 9,-1.476,180.307,-0.129,-0.02,-0.124,-0.102
Run 10,-1.568,185.369,-0.133,-0.019,-0.12,-0.11
Run 11,-1.487,179.946,-0.134,-0.02,-0.135,-0.106
Run 12,-1.604,185.114,-0.131,-0.018,-0.124,-0.111
Run 13,-1.332,178.152,-0.119,-0.022,-0.129,-0.101
Run 14,-1.451,182.451,-0.116,-0.02,-0.126,-0.107
Run 15,-1.372,179.467,-0.123,-0.02,-0.13,-0.103
Run 16,-1.323,179.08,-0.123,-0.022,-0.124,-0.099
Run 17,-1.507,184.265,-0.119,-0.02,-0.114,-0.097
Run 18,-1.435,180.565,-0.123,-0.021,-0.118,-0.108
Run 19,-1.573,184.739,-0.131,-0.019,-0.127,-0.099
Run 20,-1.391,178.176,-0.124,-0.021,-0.122,-0.109
Run 21,-1.361,179.992,-0.111,-0.02,-0.125,-0.106
Run 22,-1.384,178.392,-0.115,-0.023,-0.13,-0.097
Run 23,-1.61,183.101,-0.118,-0.019,-0.127,-0.104
Run 24,-1.373,177.897,-0.121,-0.021,-0.126,-0.106
Run 25,-1.556,184.89,-0.126,-0.019,-0.118,-0.1
Run 26,-1.33,179.662,-0.119,-0.021,-0.124,-0.103
Run 27,-1.743,186.36,-0.135,-0.018,-0.121,-0.096
Run 28,-1.457,181.288,-0.116,-0.022,-0.124,-0.1
Run 29,-1.476,183.763,-0.124,-0.019,-0.118,-0.103
Run 30,-1.306,177.07,-0.121,-0.023,-0.129,-0.102
Run 31,-1.509,182.504,-0.13,-0.02,-0.125,-0.099
Run 32,-1.279,175.107,-0.119,-0.023,-0.125,-0.105
Run 33,-1.324,178.065,-0.125,-0.02,-0.128,-0.105
Run 34,-1.38,181.813,-0.119,-0.02,-0.12,-0.102
Run 35,-1.456,181.435,-0.131,-0.021,-0.128,-0.098
Run 36,-1.392,177.979,-0.121,-0.023,-0.129,-0.104
Run 37,-1.387,177.25,-0.121,-0.024,-0.13,-0.104
Run 38,-1.443,183.444,-0.114,-0.021,-0.11,-0.103
Run 39,-1.484,182.491,-0.13,-0.02,-0.125,-0.096
Run 40,-1.241,177.659,-0.116,-0.022,-0.122,-0.102
Run 41,-1.473,184.129,-0.121,-0.02,-0.124,-0.091
Run 42,-1.341,178.794,-0.122,-0.022,-0.118,-0.107
Run 43,-1.598,183.795,-0.127,-0.02,-0.119,-0.095
Run 44,-1.363,181.048,-0.117,-0.022,-0.118,-0.098
Run 45,-1.476,182.363,-0.123,-0.02,-0.128,-0.097
Run 46,-1.322,178.099,-0.118,-0.021,-0.121,-0.1
Run 47,-1.589,181.01,-0.129,-0.02,-0.133,-0.108
Run 48,-1.469,180.963,-0.124,-0.021,-0.122,-0.102
Run 49,-1.416,179.584,-0.123,-0.022,-0.128,-0.099
Run 50,-1.536,185.046,-0.111,-0.018,-0.123,-0.109
Run 51,-1.555,184.158,-0.132,-0.02,-0.117,-0.093
Run 52,-1.563,184.003,-0.13,-0.02,-0.128,-0.092
Run 53,-1.692,187.837,-0.126,-0.018,-0.129,-0.093
Run 54,-1.277,174.908,-0.121,-0.024,-0.13,-0.101
Run 55,-1.403,180.265,-0.116,-0.02,-0.126,-0.103
Run 56,-1.366,178.425,-0.122,-0.021,-0.131,-0.108
Run 57,-1.543,184.362,-0.118,-0.019,-0.122,-0.1
Run 58,-1.351,181.089,-0.121,-0.021,-0.123,-0.094
Run 59,-1.362,180.26,-0.108,-0.021,-0.121,-0.11
Run 60,-1.454,182.504,-0.118,-0.02,-0.117,-0.096
Run 61,-1.465,180.824,-0.124,-0.02,-0.13,-0.103
Run 62,-1.357,179.912,-0.12,-0.023,-0.125,-0.102
Run 63,-1.357,180.395,-0.115,-0.021,-0.125,-0.104
Run 64,-1.43,180.37,-0.128,-0.02,-0.117,-0.1
Run 65,-1.426,181.144,-0.113,-0.022,-0.121,-0.101
Run 66,-1.574,184.746,-0.126,-0.018,-0.13,-0.098
Run 67,-1.339,177.678,-0.113,-0.022,-0.125,-0.106
Run 68,-1.283,177.394,-0.121,-0.022,-0.129,-0.099
Run 69,-1.708,186.681,-0.133,-0.019,-0.125,-0.097
Run 70,-1.418,180.279,-0.121,-0.022,-0.111,-0.102
Run 71,-1.752,185.059,-0.146,-0.018,-0.127,-0.111
Run 72,-1.378,180.901,-0.124,-0.02,-0.128,-0.093
Run 73,-1.625,186.328,-0.131,-0.018,-0.126,-0.1
Run 74,-1.471,182.031,-0.115,-0.02,-0.122,-0.107
Run 75,-1.466,180.56,-0.128,-0.021,-0.127,-0.103
Run 76,-1.36,178.378,-0.121,-0.022,-0.123,-0.104
Run 77,-1.729,186.448,-0.134,-0.019,-0.122,-0.093
Run 78,-1.546,181.677,-0.127,-0.021,-0.124,-0.105
Run 79,-1.369,180.256,-0.123,-0.021,-0.125,-0.095
Run 80,-1.459,182.162,-0.121,-0.02,-0.117,-0.103
Run 81,-1.311,179.556,-0.118,-0.021,-0.127,-0.103
