,g,h,a,b,c,d
Run 1,-19.719,529.442,-0.065,0.047,-0.016,0.008
Run 2,-21.326,565.539,-0.064,0.041,0.013,0.023
Run 3,-17.924,517.085,-0.071,0.038,-0.018,0.016
Run 4,-25.311,542.758,-0.097,0.04,-0.012,0.006
Run 5,-15.187,514.252,-0.051,0.034,-0.007,-0.006
Run 6,-16.288,494.132,-0.073,0.037,-0.035,0.001
Run 7,-22.803,557.511,-0.076,0.043,0.001,0.012
Run 8,-21.516,530.794,-0.074,0.036,-0.022,0.017
Run 9,-23.819,563.547,-0.064,0.049,-0.009,0.028
Run 10,-18.323,524.857,-0.062,0.036,-0.01,0.003
Run 11,-14.352,483.859,-0.062,0.031,-0.034,-0.009
Run 12,-27.295,609.662,-0.053,0.044,0.024,0.029
Run 13,-20.812,551.547,-0.079,0.037,0.006,0.013
Run 14,-19.867,553.387,-0.062,0.037,0.007,0.013
Run 15,-23.727,562.312,-0.08,0.039,0.006,0.009
Run 16,-18.842,534.674,-0.06,0.04,-0.003,-0.0
Run 17,-19.983,543.645,-0.086,0.031,0.009,0.004
Run 18,-21.177,556.056,-0.077,0.04,0.011,0.009
Run 19,-18.993,536.095,-0.06,0.036,-0.004,0.003
Run 20,-27.82,569.378,-0.087,0.041,-0.002,0.019
Run 21,-18.461,545.333,-0.078,0.039,0.011,0.011
Run 22,-16.088,498.574,-0.086,0.031,-0.019,-0.005
Run 23,-23.457,568.325,-0.081,0.044,0.011,0.013
Run 24,-15.161,534.564,-0.074,0.04,0.011,-0.008
Run 25,-20.483,571.336,-0.07,0.043,0.022,0.021
Run 26,-23.596,565.867,-0.092,0.036,0.015,0.014
Run 27,-19.882,503.599,-0.094,0.035,-0.039,0.007
Run 28,-23.106,550.079,-0.057,0.041,-0.007,0.014
Run 29,-29.697,607.052,-0.064,0.048,0.019,0.026
Run 30,-20.995,541.128,-0.068,0.042,-0.01,0.014
Run 31,-22.217,542.268,-0.07,0.038,-0.008,0.006
Run 32,-22.504,547.671,-0.084,0.042,-0.005,0.005
Run 33,-12.179,509.919,-0.065,0.032,0.0,0.001
Run 34,-21.185,530.501,-0.069,0.042,-0.018,0.006
Run 35,-20.752,543.633,-0.078,0.038,-0.0,0.01
Run 36,-24.887,594.148,-0.063,0.051,0.027,0.023
Run 37,-31.363,613.344,-0.073,0.054,0.018,0.023
Run 38,-26.168,576.084,-0.07,0.044,0.005,0.018
Run 39,-21.421,541.985,-0.07,0.037,-0.009,0.01
Run 40,-19.775,538.466,-0.077,0.039,0.0,0.003
Run 41,-21.375,548.394,-0.075,0.041,-0.004,0.014
Run 42,-24.589,564.4,-0.077,0.047,-0.006,0.021
Run 43,-18.945,524.979,-0.058,0.039,-0.014,0.001
Run 44,-14.064,496.954,-0.069,0.034,-0.02,-0.005
Run 45,-17.497,509.731,-0.083,0.029,-0.019,0.006
Run 46,-21.713,555.926,-0.077,0.035,0.008,0.007
Run 47,-22.503,553.491,-0.072,0.046,-0.003,0.002
Run 48,-18.581,528.018,-0.078,0.036,-0.007,0.004
Run 49,-22.463,545.881,-0.074,0.046,-0.01,0.01
Run 50,-24.465,589.758,-0.057,0.048,0.015,0.023
Run 51,-21.057,573.192,-0.074,0.045,0.026,0.005
Run 52,-22.672,572.429,-0.064,0.038,0.013,0.024
Run 53,-16.596,504.241,-0.073,0.039,-0.028,-0.0
Run 54,-22.971,554.487,-0.076,0.044,-0.006,0.014
Run 55,-19.095,545.001,-0.073,0.036,0.008,0.002
Run 56,-16.982,513.925,-0.079,0.03,-0.012,0.003
Run 57,-23.158,572.164,-0.067,0.042,0.008,0.015
Run 58,-24.846,588.449,-0.071,0.044,0.019,0.021
Run 59,-17.866,501.828,-0.097,0.03,-0.019,-0.01
Run 60,-28.279,586.566,-0.103,0.048,0.018,0.014
Run 61,-23.035,534.826,-0.07,0.05,-0.028,0.01
Run 62,-20.473,537.284,-0.065,0.037,-0.005,0.004
Run 63,-22.041,558.733,-0.073,0.036,0.011,0.006
Run 64,-17.493,533.409,-0.075,0.041,0.0,0.011
Run 65,-17.754,551.431,-0.057,0.039,0.006,0.03
Run 66,-22.391,574.453,-0.058,0.048,0.012,0.023
Run 67,-25.636,560.098,-0.081,0.043,-0.009,0.014
Run 68,-22.105,563.018,-0.063,0.041,0.004,0.022
Run 69,-18.318,517.261,-0.078,0.032,-0.017,0.005
Run 70,-25.993,579.292,-0.072,0.045,0.009,0.019
Run 71,-19.644,511.048,-0.07,0.035,-0.035,0.0
Run 72,-17.542,519.857,-0.068,0.037,-0.014,0.008
Run 73,-22.824,562.904,-0.07,0.04,0.007,0.014
