,InChI Key,SMILES,Molecular Weight,H Bond Donors,H Bond Acceptors,Rotatable Bonds,TPSA,Lipinski Number,Veber Number,LogP,Type of Substance,mp_mean,mp_std
0,AAHIKPPSMXWKAV-UHFFFAOYSA-N,CCC1=C(CC)C(=O)C2=CC=CC=C2C1=O,214.264,0.0,2.0,2.0,34.14,4.0,2.0,2.73,isocyclic,68.625,2.9852065813496615
3,ABDPGIBWTQWRCQ-UHFFFAOYSA-N,CNC1=CC(=O)C(NC)=C(C(C)=O)C1=O,208.217,2.0,5.0,3.0,75.27,4.0,2.0,0.7959999999999999,isocyclic,197.0,
4,ABHMRPVSHNSBMS-UHFFFAOYSA-N,CC1=CC(=O)C(=CC1=O)N1CCOCC1,207.229,0.0,4.0,1.0,46.61,4.0,2.0,0.207,heterocyclic,114.5,
5,ABHORXSPJNJUDK-UHFFFAOYSA-N,CC1=CC(=O)C2=C(SCCN2)C1=O,195.242,1.0,3.0,0.0,71.47,4.0,2.0,0.775,heterocyclic,165.5,
7,ABVGDXLCJRFCOD-UHFFFAOYSA-N,O=C1C2=C(N=CN2)C(=O)C2=CC=CC=C12,198.181,1.0,4.0,0.0,62.82,4.0,2.0,1.868,heterocyclic,369.3333333333333,0.4714045207910317
13,ADGDRNVXYIBLEV-UHFFFAOYSA-N,CC1=CC(=O)C(NC2=NC=CN=C2)=CC1=O,215.211,1.0,5.0,2.0,71.95,4.0,2.0,0.14300000000000002,,135.0,
15,ADZARDKIIGSIQM-UHFFFAOYSA-N,COC1=C(C(=O)C=CC1=O)C1=CC=CC=C1,214.221,0.0,3.0,2.0,43.37,4.0,2.0,1.87,isocyclic,78.5,
16,AEANWXCDONLQCI-UHFFFAOYSA-N,CC1=CC(=O)C(C#N)=C(C)C1=O,161.16,0.0,3.0,0.0,57.93,4.0,2.0,-0.225,isocyclic,125.0,
19,AFNXNYUDZIPXGI-UHFFFAOYSA-N,CCCCS(=O)C1=CC(=O)C=CC1=O,212.269,0.0,3.0,4.0,70.42,4.0,2.0,-0.275,isocyclic,68.0,
20,AFUYDNZGZMWKER-UHFFFAOYSA-N,CCOC1=C2C(=O)C=CC(=O)C2=CC=C1,202.21,0.0,2.0,2.0,43.37,4.0,2.0,1.778,isocyclic,78.5,
26,AHVMWFHEMDKJIH-UHFFFAOYSA-N,CC1CC2=C1C(=O)C1=C(C=CC=C1)C2=O,198.221,0.0,2.0,0.0,34.14,4.0,2.0,1.756,isocyclic,56.5,
28,AIACLXROWHONEE-UHFFFAOYSA-N,CC1=C(C)C(=O)C=CC1=O,136.15,0.0,2.0,0.0,34.14,4.0,2.0,0.134,isocyclic,56.209090909090904,2.0214551668873435
33,AIVWISHCJSZPPP-UHFFFAOYSA-N,FC1=CC=CC2=C1C(=O)C=CC2=O,176.14700000000005,0.0,2.0,0.0,34.14,4.0,2.0,1.601,isocyclic,160.5,
34,AJAVKSFVAFPKQM-UHFFFAOYSA-N,COC1=C(C)C(=O)C(OC)=C(C)C1=O,196.203,0.0,4.0,2.0,52.6,4.0,2.0,0.614,isocyclic,129.5,2.5495097567963922
38,AKGQWMAWJOHQBC-UHFFFAOYSA-N,CC1=C(C)C(=O)C(N2CC2)=C(Cl)C1=O,211.648,0.0,3.0,1.0,37.15,4.0,2.0,1.035,heterocyclic,93.0,
39,AKINMNDPQRFSNL-UHFFFAOYSA-N,CC1=C(F)C2=C(C(O)=C1)C(=O)C=CC2=O,206.173,1.0,2.0,0.0,54.37,4.0,2.0,1.421,,150.0,0.0
43,ALKZMYALXIBOPQ-UHFFFAOYSA-N,CC1=CC(=O)C(NC2=NC=CC=C2)=CC1=O,214.224,1.0,4.0,2.0,59.06,4.0,2.0,1.395,,138.0,
44,ALPHSAWTLQICKE-UHFFFAOYSA-N,O=C1C=CC(=O)C(NC2CCCCC2)=C1,205.257,1.0,3.0,2.0,46.17,4.0,2.0,2.0,isocyclic,97.0,
46,AMIIKZGILNYOCG-UHFFFAOYSA-N,COC1=CC(=O)C(NC(C)=O)=CC1=O,195.175,1.0,5.0,3.0,72.47,4.0,2.0,0.02,isocyclic,194.0,
49,AMMMNFDCNLHQPR-UHFFFAOYSA-N,CN1N=CC2=C1C(=O)C(C)=C(C)C2=O,190.202,0.0,4.0,0.0,51.96,4.0,2.0,0.618,heterocyclic,138.0,
50,AMMXMEZMGUPCSI-UHFFFAOYSA-N,CCCCNC1=CC(=O)C(N)=CC1=O,194.233,2.0,4.0,4.0,72.19,4.0,2.0,1.459,isocyclic,225.0,
53,ANPBNCIFNDYVKL-UHFFFAOYSA-N,CCCC1=CC(=O)C2=C(CCCC2)C1=O,204.269,0.0,2.0,2.0,34.14,4.0,2.0,1.936,isocyclic,63.5,
58,AOJBYBQOBCESPY-UHFFFAOYSA-N,CCOC1=C(O)C(=O)C(C)=C(O)C1=O,198.175,2.0,5.0,2.0,83.83,4.0,2.0,1.3119999999999998,isocyclic,158.5,
61,AOXKMCGZQRNBTO-UHFFFAOYSA-N,O=C1C2=C(COCC2)C(=O)C2=C1C=CC=C2,214.221,0.0,3.0,0.0,43.37,4.0,2.0,0.904,heterocyclic,128.54999999999998,3.958745592566752
63,AOXZKRUVFKPKHL-UHFFFAOYSA-N,CC1=C(OC2=C1C(=O)C=CC2=O)N(=O)=O,207.142,0.0,2.0,1.0,93.1,4.0,2.0,0.613,heterocyclic,193.0,
65,APPIMZMTCLGIEH-UHFFFAOYSA-N,CCC1=CC=C2C(=O)C(C)=CC(=O)C2=C1,200.237,0.0,2.0,1.0,34.14,4.0,2.0,2.522,isocyclic,49.0,
66,APSZOJQDLQCBRE-UHFFFAOYSA-N,O=C1C=CC(=O)C2=C1CC=CC2,160.172,0.0,2.0,0.0,34.14,4.0,2.0,0.584,isocyclic,107.7,1.5999999999999999
68,AQBMTZDBICUTRN-UHFFFAOYSA-N,O=C1C=CC(=O)C2=C1C=CC=C2C#C,182.178,0.0,2.0,0.0,34.14,4.0,2.0,1.938,isocyclic,155.75,
69,AQEXJGOBLPCFIF-UHFFFAOYSA-N,COC1=CC(=O)C2=C(C=CC=N2)C1=O,189.17,0.0,4.0,1.0,56.26,4.0,2.0,0.517,heterocyclic,247.83333333333334,1.8856180831641267
71,AQFPRYYHWGSFMG-UHFFFAOYSA-N,COC1=C(C)C(=O)C(C)=CC1=O,166.17700000000005,0.0,3.0,1.0,43.37,4.0,2.0,0.374,isocyclic,58.166666666666664,1.9293061504650375
74,AQZMINLSVARCSL-UHFFFAOYSA-N,ClC1=CC(=O)C(C#N)=C(C#N)C1=O,192.561,0.0,4.0,0.0,81.72,4.0,2.0,-0.369,isocyclic,153.66666666666666,1.178511301977579
78,ARKURKQNILSDPM-UHFFFAOYSA-N,C=CCC1=CC(=O)C2=C(CCCC2)C1=O,202.253,0.0,2.0,2.0,34.14,4.0,2.0,1.759,,61.0,
81,ASHWETAABNNORQ-UHFFFAOYSA-N,CCCCCC1=CC(=O)C=CC1=O,178.231,0.0,2.0,4.0,34.14,4.0,2.0,2.124,isocyclic,22.0,
83,ASWGNVFZVHOQFJ-UHFFFAOYSA-N,COC(=O)C1=CC(=O)C(C)=CC1=O,180.16,0.0,4.0,2.0,60.44,4.0,2.0,-0.193,isocyclic,38.9,
86,AUONGOLCSJUEQR-UHFFFAOYSA-N,FC1=C(F)C(=O)C(Cl)=C(F)C1=O,196.513,0.0,2.0,0.0,34.14,4.0,2.0,0.6970000000000001,isocyclic,184.9375,0.409839907768875
90,AUUYXGCPTJIPEE-UHFFFAOYSA-N,CCC1=CC(=O)C(Cl)=CC1=O,170.595,0.0,2.0,1.0,34.14,4.0,2.0,0.994,isocyclic,65.5,
92,AVWHYQVCCIPEKR-UHFFFAOYSA-N,O=C1C=CC(=O)C(CC2CCCC2)=C1,190.242,0.0,2.0,2.0,34.14,4.0,2.0,2.292,isocyclic,40.5,
94,AWJLKQKLXZMPJN-UHFFFAOYSA-N,CC1=CC(=O)C(C)=C(B(O)O)C1=O,179.968,2.0,4.0,1.0,74.6,4.0,2.0,-0.028,,119.0,
96,AXHABQXADKLDMB-UHFFFAOYSA-N,CC1=CC=C(NC2=CC(=O)C=CC2=O)C=C1,213.236,1.0,3.0,2.0,46.17,4.0,2.0,2.175,isocyclic,138.0,
101,AYRNOTNKIMVGIC-UHFFFAOYSA-N,CC1=C(C)C(=O)C(Cl)=C(Cl)C1=O,205.04,0.0,2.0,0.0,34.14,4.0,2.0,1.288,isocyclic,161.66666666666666,4.496912521077347
104,AZMLTPREVRVYKT-UHFFFAOYSA-N,COC1=C(O)C(=O)C(C)=C(Cl)C1=O,202.594,1.0,4.0,1.0,63.6,4.0,2.0,1.118,isocyclic,92.0,
105,AZNUMSPKIQJTGY-UHFFFAOYSA-N,COC1=CC(=O)C(O)=CC1=O,154.122,1.0,4.0,1.0,63.6,4.0,2.0,0.36,isocyclic,177.75,2.947456530637899
107,AZQWKYJCGOJGHM-UHFFFAOYSA-N,O=C1C=CC(=O)C=C1,108.097,0.0,2.0,0.0,34.14,4.0,2.0,-0.228,isocyclic,113.8967441860465,2.1204055348526234
111,BAIPVAKHXCPDHC-UHFFFAOYSA-N,CN1C(CCl)=NC2=C1C(=O)C=CC2=O,210.62,0.0,4.0,1.0,51.96,4.0,2.0,0.5479999999999999,,165.0,
112,BAYPRHOLHCTNNC-UHFFFAOYSA-N,CCCCC1=CC(=O)C2=C(C=CC=C2)C1=O,214.264,0.0,2.0,3.0,34.14,4.0,2.0,3.2230000000000003,isocyclic,41.0,3.409545424246464
114,BBAFGZAGSNPDRI-UHFFFAOYSA-N,CC(=O)C1=C(O)C(=O)C=C(O)C1=O,182.133,2.0,5.0,1.0,91.67,4.0,2.0,0.6920000000000001,isocyclic,152.0,
116,BCEIZDMWJVYUOM-UHFFFAOYSA-N,CCCC(=O)C1=CC(=O)C=CC1=O,178.188,0.0,3.0,3.0,51.21,4.0,2.0,0.389,isocyclic,39.75,
