,InChI Key,SMILES,Molecular Weight,H Bond Donors,H Bond Acceptors,Rotatable Bonds,TPSA,Lipinski Number,Veber Number,LogP,Type of Substance,mp_mean,mp_std
1,AADXAMFLYDYIFS-UHFFFAOYSA-N,COC1=CC=C(O)C=C1N(=O)=O,169.137,1.0,0.0,2.0,75.28,4.0,2.0,1.423,isocyclic,98.16666666666667,0.6236095644623235
4,AAGQJZSBDXYQQB-UHFFFAOYSA-N,CSC1=CC(O)=C(SC)C=C1O,202.298,2.0,0.0,2.0,91.06,4.0,2.0,2.694,isocyclic,128.0,
5,AAJCWARELUECCI-HJMPZSSBSA-N,C[C@H]1C2C3CC4C1[C@H](O)C2C3C4=O,178.231,1.0,2.0,0.0,37.3,4.0,2.0,0.225,isocyclic,86.0,
8,AANPQJBOJRZUNO-UHFFFAOYSA-N,C=CCOC1=CC=C(OCC=C)C=C1,190.242,0.0,0.0,6.0,18.46,4.0,2.0,3.082,isocyclic,35.7,2.0639767440550294
11,AAQXYFJBCSYJOW-UHFFFAOYSA-N,CC1=CC(=O)C2C(C3CC2(C)C=C3)C1=O,202.253,0.0,2.0,0.0,34.14,4.0,2.0,1.118,isocyclic,95.5,
16,AATKQDDJEUUOCH-KVQBGUIXSA-N,O[C@@H]1C[C@@H](O)[C@H](O)C=C1,130.144,3.0,3.0,0.0,60.69,4.0,2.0,-0.4970000000000001,isocyclic,77.0,
17,AATKQDDJEUUOCH-NGJCXOISSA-N,O[C@H]1C[C@@H](O)[C@@H](O)C=C1,130.144,3.0,3.0,0.0,60.69,4.0,2.0,-0.4970000000000001,isocyclic,95.5,
21,AATQJHOWGRZRIL-UHFFFAOYSA-N,CC1(O)C=CC(=O)CC1C1=CC=CC=C1,202.253,1.0,2.0,1.0,37.3,4.0,2.0,1.321,isocyclic,88.5,
23,AAUQIQBALNKDFJ-UHFFFAOYSA-N,C=C1C=CCC2C1C(=O)C=CC2=O,174.199,0.0,2.0,0.0,34.14,4.0,2.0,0.529,isocyclic,33.5,
26,AAWQZNDNJAIMCI-GZMMTYOYSA-N,[H][C@@]12C[C@]1(F)C(=O)C1=C(C=CC=C1)C2=O,190.174,0.0,2.0,0.0,34.14,4.0,2.0,1.162,isocyclic,136.5,
29,ABCIJGOPXVVBDM-BGPJRJDNSA-N,OC(=O)C1=C[C@@H]2O[C@@H]2[C@@H]2O[C@H]12,154.122,1.0,4.0,1.0,62.36,4.0,2.0,-0.68,heterocyclic,145.5,
31,ABFJCCZUMNBAAI-UHFFFAOYSA-N,COC1=C2COC(=O)C2=C(OC)C=C1,194.187,0.0,2.0,2.0,44.76,4.0,2.0,1.476,heterocyclic,170.85,2.406241883103193
37,ABJVCVSZRKYGPJ-UHFFFAOYSA-N,OC1=CC=C2OC=CC3=CC=NC1=C23,185.182,1.0,1.0,0.0,42.35,4.0,2.0,1.7619999999999998,heterocyclic,111.5,
39,ABKPHFSQXBQLGS-UHFFFAOYSA-N,OC1=CC=C2OCOC3=C2C1=CC=C3,188.183,1.0,0.0,0.0,38.69,4.0,2.0,2.639,heterocyclic,148.0,
41,ABSGQVROAPAVNF-UHFFFAOYSA-N,CCOC1=CC(OC)=CC=C1OC,182.219,0.0,0.0,4.0,27.69,4.0,2.0,1.922,isocyclic,42.5,
43,ABTJQVJGYXMJHN-UHFFFAOYSA-N,CCCC1=CC(O)=CC(OCC)=C1O,196.246,2.0,0.0,4.0,49.69,4.0,2.0,2.539,isocyclic,143.0,
44,ABUKWJVIMBFODO-UHFFFAOYSA-N,CC(C)C1=C(O)C2=CC=CC=C2C(O)=C1,202.253,2.0,0.0,1.0,40.46,4.0,2.0,3.67,isocyclic,185.0,
45,ABUQPIALHKNFHF-UHFFFAOYSA-N,CCOC1=CC=C(O)C(OC)=C1,168.192,1.0,0.0,3.0,38.69,4.0,2.0,1.601,isocyclic,35.0,
46,ABVBGAODCWQXJZ-UHFFFAOYSA-N,CC1=C(O)C2=CC=CC=C2C(O)=C1N,189.21400000000003,3.0,1.0,0.0,66.48,4.0,2.0,2.314,isocyclic,177.5,
49,ABWGVDWUQJTHLG-UHFFFAOYSA-N,OC1=CC2=C(OCCCC2)C=C1,164.204,1.0,0.0,0.0,29.46,4.0,2.0,2.093,heterocyclic,83.5,
50,ABXFOYBGBMBCJL-UHFFFAOYSA-N,CC(C)(OC1=CC=C(O)C=C1)C(N)=O,195.218,2.0,2.0,3.0,72.55,4.0,2.0,0.821,isocyclic,173.25,
57,ACIOKJHXMUWHNK-UHFFFAOYSA-N,COC1=CC(C)=C(OC)C=C1NC=O,195.218,1.0,2.0,4.0,47.56,4.0,2.0,1.096,isocyclic,96.5,
60,ACLZNESPSHFOMX-UHFFFAOYSA-N,COC1=C(O)C=C(Cl)C(O)=C1C,188.611,2.0,0.0,1.0,49.69,4.0,2.0,1.705,isocyclic,105.0,
70,ACZIUFBAKCKKDN-UHFFFAOYSA-N,COC1=CC(CO)=C(O)C(Cl)=C1,188.611,2.0,1.0,2.0,49.69,4.0,2.0,1.771,isocyclic,71.0,
71,ACZNCFDVUCUWMC-UHFFFAOYSA-N,CC(C)C1=CC(O)C(C)=CC1O,168.236,2.0,2.0,1.0,40.46,4.0,2.0,0.182,isocyclic,139.0,
72,ADBFBYNBZOZFCF-UHFFFAOYSA-N,COC1=CC(=O)C=C(OC)C11OC1C,196.203,0.0,4.0,2.0,48.06,4.0,2.0,0.316,heterocyclic,135.0,
76,ADJJVILMDKARJA-UTLUCORTSA-N,[H][C@@]12C[C@]3(CC=CC[C@]3(OO1)C=C2)OO,196.203,1.0,4.0,1.0,47.92,4.0,2.0,0.655,heterocyclic,103.5,0.0
84,ADMGWHTWSYEIOQ-UHFFFAOYSA-N,CC(=O)C1=C(O)C(C)=C(C)C(O)=C1C,194.23,2.0,1.0,1.0,57.53,4.0,2.0,2.194,isocyclic,110.08333333333333,1.6624947786050002
94,ADNXFYIXWNAVGH-UHFFFAOYSA-N,CC1=C(C)C(C)(O)C(C)=C(C)C1(C)O,196.29,2.0,2.0,0.0,40.46,4.0,2.0,-0.056,isocyclic,185.0,
95,ADOZCYJUBHXTGN-UHFFFAOYSA-N,CC1=CC(=O)C(C)(C)C2(C)OC12,166.22,0.0,2.0,0.0,29.6,4.0,2.0,0.581,heterocyclic,48.0,
